team,name,confed,stage1_matches,prior_matches,evidence_window_start,evidence_window_end,evidence_window_years
Niger,Niger,CAF,37.0,37.0,2021-05-27,2025-05-26,4
Nigeria,Nigeria,CAF,48.0,48.0,2021-05-27,2025-05-26,4
Rwanda,Rwanda,CAF,32.0,32.0,2021-05-27,2025-05-26,4
Senegal,Senegal,CAF,60.0,60.0,2021-05-27,2025-05-26,4
Seychelles,Seychelles,CAF,26.0,26.0,2021-05-27,2025-05-26,4
Sierra Leone,Sierra Leone,CAF,35.0,35.0,2021-05-27,2025-05-26,4
Somalia,Somalia,CAF,14.0,14.0,2021-05-27,2025-05-26,4
South Africa,South Africa,CAF,57.0,57.0,2021-05-27,2025-05-26,4
South Sudan,South Sudan,CAF,27.0,27.0,2021-05-27,2025-05-26,4
Sudan,Sudan,CAF,45.0,45.0,2021-05-27,2025-05-26,4
São Tomé and Príncipe,Sao Tome and Principe,CAF,16.0,16.0,2021-05-27,2025-05-26,4
Tanzania,Tanzania,CAF,39.0,39.0,2021-05-27,2025-05-26,4
Togo,Togo,CAF,33.0,33.0,2021-05-27,2025-05-26,4
Tunisia,Tunisia,CAF,58.0,58.0,2021-05-27,2025-05-26,4
Uganda,Uganda,CAF,40.0,40.0,2021-05-27,2025-05-26,4
Zambia,Zambia,CAF,49.0,49.0,2021-05-27,2025-05-26,4
Zimbabwe,Zimbabwe,CAF,26.0,26.0,2021-05-27,2025-05-26,4
Anguilla,Anguilla,CONCACAF,19.0,19.0,2021-05-27,2025-05-26,4
Antigua and Barbuda,Antigua and Barbuda,CONCACAF,23.0,23.0,2021-05-27,2025-05-26,4
Aruba,Aruba,CONCACAF,20.0,20.0,2021-05-27,2025-05-26,4
Bahamas,Bahamas,CONCACAF,22.0,22.0,2021-05-27,2025-05-26,4
Barbados,Barbados,CONCACAF,30.0,30.0,2021-05-27,2025-05-26,4
Belize,Belize,CONCACAF,28.0,28.0,2021-05-27,2025-05-26,4
