rank_old,name,confed_old,off_old,def_old,spi_old,rank_new,confed_new,off_new,def_new,spi_new,_merge,rank_change,off_change,def_change,spi_change
1,Argentina,CONMEBOL,2.7391979231205954,0.3492213831307262,73.43201095461659,1,CONMEBOL,2.713174703740239,0.3492213831307262,73.37656494522692,both,0,-0.026023219380356455,0.0,-0.05544600938966937
2,Brazil,CONMEBOL,2.5715892410555723,0.5498549941844474,69.70754303599374,2,CONMEBOL,2.5471583554991484,0.5498549941844474,69.5883255086072,both,0,-0.02443088555642392,0.0,-0.11921752738653879
3,Spain,UEFA,2.567771373072851,0.5643713682380692,69.4977386541471,3,UEFA,2.5433767584318074,0.5643713682380692,69.37191705790298,both,0,-0.02439461464104342,0.0,-0.1258215962441227
4,Netherlands,UEFA,2.618859906892148,0.6382917735498188,69.11197965571205,4,UEFA,2.593979935529643,0.6382917735498188,68.96719092331769,both,0,-0.02487997136250497,0.0,-0.1447887323943604
5,France,UEFA,2.4992808947996883,0.5855879532586685,68.5977151799687,5,UEFA,2.475536960683234,0.5855879532586685,68.54998435054772,both,0,-0.02374393411645448,0.0,-0.04773082942098483
6,England,UEFA,2.29942443717591,0.5203963035671281,67.55896713615024,6,UEFA,2.277579200629801,0.5203963035671281,67.47942879499217,both,0,-0.021845236546108815,0.0,-0.07953834115807012
7,Germany,UEFA,2.507142266150295,0.744508560885613,66.85336463223788,7,UEFA,2.483323646597801,0.744508560885613,66.70874021909233,both,0,-0.02381861955249409,0.0,-0.14462441314555008
8,Colombia,CONMEBOL,2.250653833674414,0.5453531481388241,66.78602503912363,8,CONMEBOL,2.229271932801685,0.5453531481388241,66.68193270735524,both,0,-0.021381900872729176,0.0,-0.10409233176838484
9,Italy,UEFA,2.39963090601659,0.672151403622465,66.67391236306729,9,UEFA,2.3768336773198,0.672151403622465,66.57464006259781,both,0,-0.022797228696789684,0.0,-0.09927230046947955
10,Belgium,UEFA,2.266897076244507,0.6245339654996918,65.96812989045382,10,UEFA,2.2453608595914973,0.6245339654996918,65.90458528951487,both,0,-0.021536216653009532,0.0,-0.06354460093895398
11,Portugal,UEFA,2.125390822485993,0.5674736599351335,65.31167449139281,11,UEFA,2.105198958591932,0.5674736599351335,65.21071205007824,both,0,-0.020191863894060802,0.0,-0.10096244131456444
12,Croatia,UEFA,2.180639721363564,0.6584867789541109,64.74389671361503,12,UEFA,2.159922976005524,0.6584867789541109,64.64115023474179,both,0,-0.020716745358040356,0.0,-0.10274647887324306
13,Denmark,UEFA,2.1105049601624915,0.6549087121475059,64.03877151799688,13,UEFA,2.0904545165205555,0.6549087121475059,63.98448356807512,both,0,-0.020050443641935978,0.0,-0.05428794992175767
14,USA,CONCACAF,1.996797046180688,0.6168373052624295,63.43732394366197,14,CONCACAF,1.9778268625542312,0.6168373052624295,63.29338810641628,both,0,-0.01897018362645686,0.0,-0.14393583724569226
16,Switzerland,UEFA,2.1612084335582016,0.7883227665897747,62.985813771518,15,UEFA,2.1406762913867854,0.7883227665897747,62.90668231611893,both,1,-0.02053214217141619,0.0,-0.07913145539907163
15,Uruguay,CONMEBOL,1.806985047461032,0.4875499802456838,62.991549295774654,16,CONMEBOL,1.7966466305743647,0.4986053765904857,62.86310641627543,both,-1,-0.010338416886667368,0.011055396344801904,-0.12844287949922517
17,Poland,UEFA,2.1952545906500696,0.8209404038390749,62.89410015649453,17,UEFA,2.1743989995567694,0.8209404038390749,62.82930359937402,both,0,-0.020855591093300152,0.0,-0.06479655712050914
18,Ecuador,CONMEBOL,1.8869464119333257,0.5709074463846332,62.82423317683882,18,CONMEBOL,1.8690198429832527,0.5709074463846332,62.75351330203444,both,0,-0.01792656895007294,0.0,-0.07071987480437514
19,Scotland,UEFA,2.00716075125593,0.6797832521124006,62.7102034428795,19,UEFA,1.9880921092564985,0.6797832521124006,62.62557902973396,both,0,-0.0190686419994317,0.0,-0.0846244131455336
20,Morocco,CAF,1.811754767293883,0.5358776070019523,62.440367762128325,20,CAF,1.794542542001677,0.5358776070019523,62.39212832550861,both,0,-0.017212225292206007,0.0,-0.04823943661971697
21,Austria,UEFA,2.11409920191006,0.8107237027921335,62.23985133020344,21,UEFA,2.094014611870481,0.8107237027921335,62.15442097026603,both,0,-0.020084590039579187,0.0,-0.08543035993741199
22,Mexico,CONCACAF,1.7991980426820229,0.5803333198091827,61.74788732394367,22,CONCACAF,1.7821051101201868,0.5803333198091827,61.68653364632238,both,0,-0.017092932561836083,0.0,-0.06135367762129107
23,Serbia,UEFA,1.9952836320235976,0.7620894327111353,61.56412363067293,23,UEFA,1.976327826295244,0.7620894327111353,61.48951486697965,both,0,-0.018955805728353647,0.0,-0.07460876369328417
24,Venezuela,CONMEBOL,1.9253054146977944,0.7246119198555324,61.3237558685446,24,CONMEBOL,1.9070144234707755,0.7246119198555324,61.18607198748044,both,0,-0.018290991227018827,0.0,-0.13768388106416296
25,Ukraine,UEFA,1.999024643925464,0.7960698433061923,61.24597026604069,25,UEFA,1.9800332974380408,0.7960698433061923,61.11975743348983,both,0,-0.018991346487423177,0.0,-0.12621283255086269
26,Sweden,UEFA,1.973909242584496,0.8083232066457398,60.768372456964,26,UEFA,1.9551565001035256,0.8083232066457398,60.66334115805947,both,0,-0.018752742480970364,0.0,-0.10503129890453522
27,Hungary,UEFA,1.835087527114328,0.7032336274440256,60.63095461658842,27,UEFA,1.8176536334561992,0.7032336274440256,60.5272613458529,both,0,-0.017433893658128863,0.0,-0.10369327073551915
30,Turkey,UEFA,1.984636780953681,0.8426660690531879,60.46316118935837,28,UEFA,1.965782123571989,0.8426660690531879,60.43843505477307,both,2,-0.018854657381691897,0.0,-0.02472613458529338
28,Norway,UEFA,1.908820990744328,0.7767955500200032,60.51086854460094,29,UEFA,1.8906866065946133,0.7767955500200032,60.39805164319249,both,-1,-0.0181343841497148,0.0,-0.11281690140845058
29,Japan,AFC,1.8540513187732577,0.7323385302136188,60.48714397496088,30,AFC,1.8364372632851065,0.7323385302136188,60.35396713615023,both,-1,-0.017614055488151203,0.0,-0.13317683881064823
32,Greece,UEFA,1.7351864311906784,0.6582295739141604,60.089593114241005,31,UEFA,1.7187016285469725,0.6582295739141604,60.03614241001565,both,1,-0.016484802643705887,0.0,-0.05345070422535514
31,Czech Republic,UEFA,1.974198177449184,0.8667178331393042,60.12421752738653,32,UEFA,1.9554426899984885,0.8667178331393042,60.01610328638497,both,-1,-0.01875548745069544,0.0,-0.10811424100155875
33,Canada,CONCACAF,1.7894739201055787,0.7294157033690776,59.78197183098592,33,CONCACAF,1.7724733696870527,0.7294157033690776,59.69597026604069,both,0,-0.017000550418525995,0.0,-0.08600156494522793
34,Egypt,CAF,1.6941768518096392,0.6556523929414856,59.61818466353678,34,CAF,1.6780816527327005,0.6556523929414856,59.63515649452269,both,0,-0.016095199076938682,0.0,0.016971830985909264
35,Slovenia,UEFA,1.7705929120643378,0.7542241087363268,59.263333333333335,35,UEFA,1.753771737006107,0.7542241087363268,59.20596244131456,both,0,-0.016821175058230775,0.0,-0.0573708920187741
36,South Korea,AFC,1.6971629716764296,0.7411668813396,58.61520344287951,36,AFC,1.6810394035460048,0.7411668813396,58.5664475743349,both,0,-0.016123568130424815,0.0,-0.04875586854461034
37,Georgia,UEFA,1.7135064727072424,0.7966391579279252,58.09852895148669,37,UEFA,1.6972276363104477,0.7966391579279252,58.008638497652576,both,0,-0.016278836396794727,0.0,-0.08989045383411565
38,Senegal,CAF,1.6492547965978768,0.741906048857671,58.06931924882629,38,CAF,1.6335863708066232,0.741906048857671,57.99682316118936,both,0,-0.015668425791253604,0.0,-0.07249608763692805
39,Wales,UEFA,1.7018914562781364,0.7917233968222195,58.03471048513303,39,UEFA,1.6857229660954978,0.7917233968222195,57.98648669796557,both,0,-0.016168490182638662,0.0,-0.04822378716746556
40,Peru,CONMEBOL,1.5128663398917337,0.6438774626995604,57.743348982785605,40,CONMEBOL,1.498493646219672,0.6438774626995604,57.733528951486704,both,0,-0.01437269367206162,0.0,-0.009820031298900744
41,Bolivia,CONMEBOL,1.5906164802851024,0.7528555463864337,57.2696165884194,41,CONMEBOL,1.575505136461757,0.7528555463864337,57.218223787167446,both,0,-0.015111343823345447,0.0,-0.05139280125195711
43,Slovakia,UEFA,1.6065882581864666,0.7728739415128537,57.21507824726134,42,UEFA,1.5913251775803523,0.7728739415128537,57.13747261345853,both,1,-0.015263080606114254,0.0,-0.07760563380281127
42,Israel,UEFA,1.910854454892306,1.0507932765962913,57.23121283255086,43,UEFA,1.892700752210266,1.0507932765962913,57.10596244131455,both,-1,-0.018153702682040196,0.0,-0.12525039123630677
44,Iran,AFC,1.61705296401611,0.7910435372788178,57.06765258215962,44,AFC,1.601690465498914,0.7910435372788178,57.05294992175274,both,0,-0.015362498517196066,0.0,-0.014702660406875623
45,Algeria,CAF,1.699408559413842,0.8694611797070024,57.04960093896714,45,CAF,1.683263657512011,0.8694611797070024,56.97535993740219,both,0,-0.016144901901830933,0.0,-0.07424100156494973
48,Mali,CAF,1.370662704852978,0.5756618348524686,56.91125195618153,46,CAF,1.3576409892756582,0.5756618348524686,56.8664710485133,both,2,-0.013021715577319792,0.0,-0.04478090766823328
