team,name,confed,stage1_matches,stage2_matches,stage3_matches,prior_matches,evidence_window_start,evidence_window_end,evidence_window_years
Trinidad and Tobago,Trinidad and Tobago,CONCACAF,32.0,13.0,4.0,49.0,2022-07-16,2026-07-15,4
Turks and Caicos Islands,Turks and Caicos Islands,CONCACAF,12.0,1.0,0.0,13.0,2022-07-16,2026-07-15,4
United States,USA,CONCACAF,42.0,14.0,9.0,65.0,2022-07-16,2026-07-15,4
United States Virgin Islands,US Virgin Islands,CONCACAF,12.0,1.0,1.0,14.0,2022-07-16,2026-07-15,4
Argentina,Argentina,CONMEBOL,38.0,7.0,11.0,56.0,2022-07-16,2026-07-15,4
Bolivia,Bolivia,CONMEBOL,29.0,9.0,5.0,43.0,2022-07-16,2026-07-15,4
Brazil,Brazil,CONMEBOL,32.0,8.0,9.0,49.0,2022-07-16,2026-07-15,4
Chile,Chile,CONMEBOL,29.0,6.0,4.0,39.0,2022-07-16,2026-07-15,4
Colombia,Colombia,CONMEBOL,33.0,8.0,9.0,50.0,2022-07-16,2026-07-15,4
Ecuador,Ecuador,CONMEBOL,33.0,8.0,8.0,49.0,2022-07-16,2026-07-15,4
Paraguay,Paraguay,CONMEBOL,27.0,8.0,8.0,43.0,2022-07-16,2026-07-15,4
Peru,Peru,CONMEBOL,29.0,6.0,4.0,39.0,2022-07-16,2026-07-15,4
Uruguay,Uruguay,CONMEBOL,34.0,8.0,5.0,47.0,2022-07-16,2026-07-15,4
Venezuela,Venezuela,CONMEBOL,29.0,7.0,4.0,40.0,2022-07-16,2026-07-15,4
Fiji,Fiji,OFC,25.0,4.0,1.0,30.0,2022-07-16,2026-07-15,4
New Caledonia,New Caledonia,OFC,15.0,1.0,1.0,17.0,2022-07-16,2026-07-15,4
New Zealand,New Zealand,OFC,23.0,8.0,7.0,38.0,2022-07-16,2026-07-15,4
Papua New Guinea,Papua New Guinea,OFC,21.0,3.0,0.0,24.0,2022-07-16,2026-07-15,4
Solomon Islands,Solomon Islands,OFC,25.0,2.0,2.0,29.0,2022-07-16,2026-07-15,4
Vanuatu,Vanuatu,OFC,22.0,3.0,1.0,26.0,2022-07-16,2026-07-15,4
Albania,Albania,UEFA,30.0,8.0,4.0,42.0,2022-07-16,2026-07-15,4
Andorra,Andorra,UEFA,26.0,8.0,5.0,39.0,2022-07-16,2026-07-15,4
Armenia,Armenia,UEFA,26.0,8.0,3.0,37.0,2022-07-16,2026-07-15,4
Austria,Austria,UEFA,30.0,8.0,7.0,45.0,2022-07-16,2026-07-15,4
Azerbaijan,Azerbaijan,UEFA,25.0,8.0,4.0,37.0,2022-07-16,2026-07-15,4
Belarus,Belarus,UEFA,26.0,7.0,4.0,37.0,2022-07-16,2026-07-15,4
Belgium,Belgium,UEFA,32.0,8.0,10.0,50.0,2022-07-16,2026-07-15,4
Bosnia and Herzegovina,Bosnia and Herzegovina,UEFA,23.0,8.0,8.0,39.0,2022-07-16,2026-07-15,4
Bulgaria,Bulgaria,UEFA,26.0,8.0,4.0,38.0,2022-07-16,2026-07-15,4
Croatia,Croatia,UEFA,35.0,8.0,8.0,51.0,2022-07-16,2026-07-15,4
Cyprus,Cyprus,UEFA,26.0,8.0,4.0,38.0,2022-07-16,2026-07-15,4
Czech Republic,Czech Republic,UEFA,29.0,8.0,7.0,44.0,2022-07-16,2026-07-15,4
Denmark,Denmark,UEFA,31.0,8.0,4.0,43.0,2022-07-16,2026-07-15,4
England,England,UEFA,36.0,8.0,11.0,55.0,2022-07-16,2026-07-15,4
Estonia,Estonia,UEFA,30.0,8.0,4.0,42.0,2022-07-16,2026-07-15,4
