team,xG,xGA,matches
Mexico,1.7821051101201868,0.5803333198091827,77.0
United States,1.9778268625542312,0.6168373052624295,71.0
Canada,1.7724733696870527,0.7294157033690776,59.0
Costa Rica,1.3059256253527454,0.7972975202944752,62.0
Honduras,1.2605160814273813,0.9264465397650504,57.0
Panama,1.6638785290890503,0.8963527265240251,67.0
Haiti,1.0046564882603777,1.421069821738626,35.0
Jamaica,1.3404889644351534,0.9727896226937172,61.0
Guatemala,0.951546439067467,0.8910824221338595,55.0
Curaçao,0.5544019548658093,1.3939913503302828,30.0
El Salvador,0.873074428171297,0.9854020594091321,62.0
Trinidad and Tobago,0.8623795691046257,1.1316270827023136,47.0
Cuba,0.6662961294921006,1.201131515475123,37.0
Saint Kitts and Nevis,0.16233472038557756,2.634459490951884,33.0
Nicaragua,0.7767387797889121,1.1976406713364751,39.0
Bermuda,0.7320393201049163,2.02521851787272,27.0
Dominican Republic,0.7095988813805718,1.4406398245208858,29.0
Guyana,0.6489125274523873,1.9385148383295396,34.0
Martinique,0.9758394076942022,1.1179464574211717,23.0
Belize,0.25597837532754686,2.054120656807354,28.0
Suriname,0.7414516227816935,1.136159935328432,29.0
Antigua and Barbuda,0.2931553795724845,2.486222187126606,23.0
Puerto Rico,0.41536219252000833,1.8935888211852208,26.0
Barbados,0.37637829366101083,2.372843056797372,30.0
Dominica,0.26146438923645954,1.9940476592718352,22.0
Saint Vincent and the Grenadines,0.6043721734995621,1.7620276600840652,33.0
Grenada,0.4821563305702459,1.4072679037048064,33.0
Saint Lucia,0.24131913836542554,2.5129301756804323,24.0
Aruba,0.2586407055650617,2.195743450393831,20.0
Montserrat,0.5746567658600381,1.4358663908695604,22.0
Cayman Islands,0.16091824016355208,2.634459490951884,18.0
Bahamas,0.3080869958156537,1.9441687314464509,22.0
French Guiana,0.7644734098642332,0.6436976291913467,22.0
British Virgin Islands,0.11923174208146127,1.0829499730914942,18.0
Bonaire,0.07490043826653672,1.5955236452451511,18.0
Turks and Caicos Islands,0.005616840461696317,2.628482651877859,19.0
Guadeloupe,0.6602369935911202,0.15910377367097825,31.0
Anguilla,0.05517467340316514,2.324081614765478,19.0
United States Virgin Islands,0.02236733912085887,2.634459490951884,18.0
Saint Martin,0.20671268594380077,0.8546033934070294,14.0
Sint Maarten,0.16621083812207674,2.634459490951884,19.0
