team,name,confed,incoming_prior_matches,stage3_matches,prior_matches,evidence_window_start,evidence_window_end,evidence_window_years
Afghanistan,Afghanistan,AFC,19.0,3.0,22.0,2022-07-16,2026-07-15,4
Albania,Albania,UEFA,38.0,4.0,42.0,2022-07-16,2026-07-15,4
Algeria,Algeria,CAF,50.0,8.0,58.0,2022-07-16,2026-07-15,4
Andorra,Andorra,UEFA,34.0,5.0,39.0,2022-07-16,2026-07-15,4
Angola,Angola,CAF,42.0,2.0,44.0,2022-07-16,2026-07-15,4
Anguilla,Anguilla,CONCACAF,19.0,2.0,21.0,2022-07-16,2026-07-15,4
Antigua and Barbuda,Antigua and Barbuda,CONCACAF,21.0,0.0,21.0,2022-07-16,2026-07-15,4
Argentina,Argentina,CONMEBOL,45.0,11.0,56.0,2022-07-16,2026-07-15,4
Armenia,Armenia,UEFA,34.0,3.0,37.0,2022-07-16,2026-07-15,4
Aruba,Aruba,CONCACAF,19.0,2.0,21.0,2022-07-16,2026-07-15,4
Australia,Australia,AFC,40.0,8.0,48.0,2022-07-16,2026-07-15,4
Austria,Austria,UEFA,38.0,7.0,45.0,2022-07-16,2026-07-15,4
Azerbaijan,Azerbaijan,UEFA,33.0,4.0,37.0,2022-07-16,2026-07-15,4
Bahamas,Bahamas,CONCACAF,17.0,2.0,19.0,2022-07-16,2026-07-15,4
Bahrain,Bahrain,AFC,49.0,1.0,50.0,2022-07-16,2026-07-15,4
Bangladesh,Bangladesh,AFC,32.0,2.0,34.0,2022-07-16,2026-07-15,4
Barbados,Barbados,CONCACAF,24.0,2.0,26.0,2022-07-16,2026-07-15,4
Belarus,Belarus,UEFA,33.0,4.0,37.0,2022-07-16,2026-07-15,4
Belgium,Belgium,UEFA,40.0,10.0,50.0,2022-07-16,2026-07-15,4
Belize,Belize,CONCACAF,24.0,2.0,26.0,2022-07-16,2026-07-15,4
Benin,Benin,CAF,32.0,4.0,36.0,2022-07-16,2026-07-15,4
Bermuda,Bermuda,CONCACAF,28.0,2.0,30.0,2022-07-16,2026-07-15,4
Bhutan,Bhutan,AFC,18.0,1.0,19.0,2022-07-16,2026-07-15,4
Bolivia,Bolivia,CONMEBOL,38.0,5.0,43.0,2022-07-16,2026-07-15,4
Bonaire,Bonaire,CONCACAF,16.0,3.0,19.0,2022-07-16,2026-07-15,4
Bosnia and Herzegovina,Bosnia and Herzegovina,UEFA,31.0,8.0,39.0,2022-07-16,2026-07-15,4
Botswana,Botswana,CAF,31.0,2.0,33.0,2022-07-16,2026-07-15,4
Brazil,Brazil,CONMEBOL,40.0,9.0,49.0,2022-07-16,2026-07-15,4
British Virgin Islands,British Virgin Islands,CONCACAF,19.0,4.0,23.0,2022-07-16,2026-07-15,4
Brunei,Brunei,AFC,26.0,0.0,26.0,2022-07-16,2026-07-15,4
Bulgaria,Bulgaria,UEFA,34.0,4.0,38.0,2022-07-16,2026-07-15,4
