rank_old,name,confed_old,off_old,def_old,spi_old,rank_new,confed_new,off_new,def_new,spi_new,_merge,rank_change,off_change,def_change,spi_change
5,Argentina,CONMEBOL,2.050166358545128,0.4512139818132739,66.22621951219513,1,CONMEBOL,2.510138544246307,0.4265700576841593,70.48460162601626,both,4,0.4599721857011789,-0.02464392412911459,4.258382113821128
1,Spain,UEFA,2.570978489553765,0.4500897651180293,71.14926016260162,2,UEFA,2.3983608840081034,0.4945736800378343,68.64999186991871,both,-1,-0.1726176055456614,0.04448391491980502,-2.4992682926829133
8,Brazil,CONMEBOL,2.0023842674948127,0.5336051467137455,64.69463414634146,3,CONMEBOL,2.4216230226967403,0.6025587996116498,67.53573983739837,both,5,0.41923875520192766,0.06895365289790434,2.84110569105691
3,France,UEFA,2.5664510297844183,0.6574654374678334,68.66643902439024,4,UEFA,2.412270531130201,0.6182447615967629,67.28814634146342,both,-1,-0.15418049865421724,-0.039220675871070476,-1.3782926829268263
11,Netherlands,UEFA,2.0959196857269,0.6713128869401226,63.93578861788618,5,UEFA,2.4127760152677467,0.7118343227974352,66.14964227642275,both,6,0.31685632954084664,0.040521435857312604,2.2138536585365713
2,England,UEFA,2.135605181100384,0.2774419492028674,69.31035772357723,6,UEFA,2.16441156570696,0.5238892716620447,66.00675609756098,both,-4,0.028806384606575808,0.24644732245917728,-3.3036016260162455
6,Colombia,CONMEBOL,2.026835084618139,0.4679111458487318,65.76304878048781,7,CONMEBOL,2.106864319211106,0.5237148445125924,65.46989430894308,both,-1,0.08002923459296696,0.055803698663860646,-0.2931544715447245
16,Italy,UEFA,1.9759844525012265,0.7058650774816847,62.26947967479675,8,UEFA,2.200406215663312,0.633872470950015,65.0090325203252,both,8,0.22442176316208573,-0.07199260653166972,2.7395528455284577
18,Germany,UEFA,1.9205704382838005,0.7257079068545071,61.43182113821138,9,UEFA,2.322082284060082,0.788828950854603,64.34009756097561,both,9,0.40151184577628163,0.06312104400009588,2.9082764227642244
33,Belgium,UEFA,1.8124848229103825,0.8407888839825205,58.80139024390244,10,UEFA,2.1601191484241724,0.6845596878739513,63.98395121951219,both,23,0.3476343255137899,-0.15622919610856922,5.1825609756097535
17,Portugal,UEFA,2.1996923658531347,0.923945355875532,61.942081300813015,11,UEFA,2.023193151421101,0.6219042450696811,63.38424390243903,both,6,-0.17649921443203365,-0.30204111080585083,1.4421626016260163
29,Croatia,UEFA,1.725769727523385,0.6946641881306276,59.66082113821138,12,UEFA,2.0873860032255007,0.69687158151138,63.091804878048784,both,17,0.36161627570211574,0.002207393380752376,3.4309837398374015
15,Denmark,UEFA,2.003672601351729,0.7080644847871447,62.53743089430894,13,UEFA,2.0035432787743104,0.6433761759223402,62.8879918699187,both,2,-0.00012932257741882225,-0.06468830886480448,0.35056097560975985
4,Switzerland,UEFA,2.2956715081794266,0.5223778606446415,67.76591056910569,14,UEFA,2.1073460557747365,0.7415294443091169,62.77320325203252,both,-10,-0.18832545240469,0.2191515836644754,-4.992707317073162
13,Mexico,CONCACAF,1.822350204804484,0.5466592174654175,62.658837398373976,15,CONCACAF,1.8383782708354093,0.5228497060297586,62.64981300813008,both,-2,0.016028066030925325,-0.023809511435658903,-0.009024390243894231
12,Morocco,CAF,1.6356433572399265,0.3789625558807498,62.78147967479675,16,CAF,1.7841142777753725,0.4910098523249136,62.48428455284552,both,-4,0.14847092053544597,0.11204729644416384,-0.2971951219512263
31,USA,CONCACAF,2.1003682972654976,1.035823702531994,59.57518699186992,17,CONCACAF,2.015221281841977,0.7204284906391177,62.02559349593496,both,14,-0.08514701542352077,-0.31539521189287634,2.450406504065043
21,Japan,AFC,1.7100683441572986,0.6312165257061594,60.35827642276422,18,AFC,1.8821745884156715,0.6703659909410817,61.24876422764228,both,3,0.17210624425837295,0.039149465234922354,0.8904878048780631
10,Norway,UEFA,2.2240330017589143,0.7467816284915147,64.32064227642277,19,UEFA,2.032961929098648,0.8085549610495388,61.20894308943089,both,-9,-0.19107107266026624,0.061773332558024086,-3.111699186991885
20,Poland,UEFA,2.1026631875011184,0.9606360525177866,60.476032520325205,20,UEFA,2.079697824367236,0.8582826284657689,61.02708943089431,both,0,-0.0229653631338822,-0.10235342405201775,0.5510569105691019
