severity,issue,detail
documented,historical_snapshot_drift,The frozen July 2026 results snapshot gives small Stage 1 metric differences from the May 2025 saved ranking; team set and top ten are exact and rank Spearman exceeds 0.999.
method_scope,rolling_confidence_not_zero_memory,"Appearances older than four years have zero evidence count, but older information can remain indirectly embedded in the carried prior xG/xGA."
