team,name,confed,prior_matches,new_matches,total_matches,prior_weight,new_weight,prior_off,prior_xG_scaled,new_xG,pooled_xG_pre_normalization,xG,prior_def,prior_xGA_scaled,new_xGA,pooled_xGA_pre_normalization,xGA
Afghanistan,Afghanistan,AFC,20.0,3.0,23.0,0.8695652173913043,0.13043478260869565,0.2602728554126349,0.2558616744877497,0.1175103565740532,0.23781585041205017,0.23131895788262566,1.1548765665706373,1.1548765665706373,0.8286255508844331,1.112322086263741,1.061477166431971
Albania,Albania,UEFA,35.0,8.0,43.0,0.813953488372093,0.18604651162790697,1.4817885949083711,1.4566748058649097,1.325806260136937,1.4323271694504032,1.3931974156061129,0.7356756596188074,0.7356756596188074,0.6029535102940872,0.7109831667211851,0.6784836932682188
Algeria,Algeria,CAF,37.0,18.0,55.0,0.6727272727272727,0.32727272727272727,1.683263657512011,1.6547352098342936,1.6116959601242435,1.6406496372019135,1.5958287207118154,0.8694611797070024,0.8694611797070024,0.7529065445626084,0.831316026387019,0.793316064650674
Andorra,Andorra,UEFA,32.0,8.0,40.0,0.8,0.2,0.4822628797823617,0.4740893466157798,0.6467268004606944,0.5086168373847627,0.49472193119823565,0.6781081613236571,0.6781081613236571,1.092208261211106,0.7609281813011469,0.7261456908213006
Angola,Angola,CAF,40.0,9.0,49.0,0.8163265306122449,0.1836734693877551,1.0653730545572253,1.0473167985996117,1.136269774478995,1.0636551002917431,1.034597100738743,1.001142387399052,1.001142387399052,1.2815968284838353,1.0526544275982979,1.004536952774461
Anguilla,Anguilla,CONCACAF,17.0,5.0,22.0,0.7727272727272727,0.22727272727272727,0.0551746734031651,0.05423955680613484,0.0013806726686514,0.042226174047615875,0.041072596965849445,2.324081614765478,2.324081614765478,2.569336678417669,2.3798214019591577,2.271038316654266
Antigua and Barbuda,Antigua and Barbuda,CONCACAF,21.0,4.0,25.0,0.84,0.16,0.2931553795724845,0.2881868959542161,0.0034265347276397,0.24262523815796386,0.23599695793817557,2.486222187126606,2.486222187126606,0.3529786426347303,2.144903220007906,2.0468583878365623
Argentina,Argentina,CONMEBOL,44.0,7.0,51.0,0.8627450980392157,0.13725490196078433,2.713174703740239,2.667191020654865,2.053985298130305,2.5830255293279643,2.512459840641836,0.3492213831307262,0.3492213831307262,0.397346923648422,0.3558268494762923,0.3395617875315242
Armenia,Armenia,UEFA,32.0,8.0,40.0,0.8,0.2,1.2748402372332133,1.2532338698391041,1.3415367486186798,1.2708944455950193,1.2361748732243503,1.1771275058656154,1.1771275058656154,1.255900038508439,1.1928820123941801,1.138354649287806
Aruba,Aruba,CONCACAF,18.0,4.0,22.0,0.8181818181818182,0.18181818181818182,0.2586407055650617,0.2542571867959659,0.0010717641870698,0.20822347359434842,0.2025350153704663,2.195743450393831,2.195743450393831,0.893187229706609,1.9589150466325178,1.869371847110305
