team,name,confed,incoming_prior_matches,stage2_matches,prior_matches,evidence_window_start,evidence_window_end,evidence_window_years
Gambia,Gambia,CAF,26.0,7.0,33.0,2022-01-27,2026-01-26,4
Georgia,Georgia,UEFA,34.0,8.0,42.0,2022-01-27,2026-01-26,4
Germany,Germany,UEFA,40.0,8.0,48.0,2022-01-27,2026-01-26,4
Ghana,Ghana,CAF,36.0,8.0,44.0,2022-01-27,2026-01-26,4
Gibraltar,Gibraltar,UEFA,32.0,8.0,40.0,2022-01-27,2026-01-26,4
Greece,Greece,UEFA,32.0,8.0,40.0,2022-01-27,2026-01-26,4
Grenada,Grenada,CONCACAF,28.0,6.0,34.0,2022-01-27,2026-01-26,4
Guadeloupe,Guadeloupe,CONCACAF,26.0,3.0,29.0,2022-01-27,2026-01-26,4
Guatemala,Guatemala,CONCACAF,45.0,14.0,59.0,2022-01-27,2026-01-26,4
Guinea,Guinea,CAF,32.0,6.0,38.0,2022-01-27,2026-01-26,4
Guinea-Bissau,Guinea-Bissau,CAF,27.0,6.0,33.0,2022-01-27,2026-01-26,4
Guyana,Guyana,CONCACAF,31.0,4.0,35.0,2022-01-27,2026-01-26,4
Haiti,Haiti,CONCACAF,24.0,11.0,35.0,2022-01-27,2026-01-26,4
Honduras,Honduras,CONCACAF,41.0,13.0,54.0,2022-01-27,2026-01-26,4
Hong Kong,Hong Kong,AFC,40.0,8.0,48.0,2022-01-27,2026-01-26,4
Hungary,Hungary,UEFA,35.0,8.0,43.0,2022-01-27,2026-01-26,4
Iceland,Iceland,UEFA,38.0,8.0,46.0,2022-01-27,2026-01-26,4
India,India,AFC,32.0,5.0,37.0,2022-01-27,2026-01-26,4
Indonesia,Indonesia,AFC,47.0,6.0,53.0,2022-01-27,2026-01-26,4
Iran,Iran,AFC,41.0,5.0,46.0,2022-01-27,2026-01-26,4
Iraq,Iraq,AFC,42.0,12.0,54.0,2022-01-27,2026-01-26,4
Israel,Israel,UEFA,30.0,8.0,38.0,2022-01-27,2026-01-26,4
Italy,Italy,UEFA,37.0,8.0,45.0,2022-01-27,2026-01-26,4
Ivory Coast,Ivory Coast,CAF,36.0,13.0,49.0,2022-01-27,2026-01-26,4
Jamaica,Jamaica,CONCACAF,47.0,14.0,61.0,2022-01-27,2026-01-26,4
Japan,Japan,AFC,45.0,8.0,53.0,2022-01-27,2026-01-26,4
Jordan,Jordan,AFC,41.0,14.0,55.0,2022-01-27,2026-01-26,4
Kazakhstan,Kazakhstan,UEFA,33.0,8.0,41.0,2022-01-27,2026-01-26,4
Kenya,Kenya,CAF,21.0,7.0,28.0,2022-01-27,2026-01-26,4
Kosovo,Kosovo,UEFA,31.0,8.0,39.0,2022-01-27,2026-01-26,4
Kuwait,Kuwait,AFC,44.0,10.0,54.0,2022-01-27,2026-01-26,4
Kyrgyzstan,Kyrgyzstan,AFC,32.0,2.0,34.0,2022-01-27,2026-01-26,4
Laos,Laos,AFC,21.0,4.0,25.0,2022-01-27,2026-01-26,4
Latvia,Latvia,UEFA,32.0,8.0,40.0,2022-01-27,2026-01-26,4
Lebanon,Lebanon,AFC,31.0,8.0,39.0,2022-01-27,2026-01-26,4
Lesotho,Lesotho,CAF,35.0,6.0,41.0,2022-01-27,2026-01-26,4
Liberia,Liberia,CAF,25.0,5.0,30.0,2022-01-27,2026-01-26,4
Libya,Libya,CAF,30.0,6.0,36.0,2022-01-27,2026-01-26,4
Liechtenstein,Liechtenstein,UEFA,31.0,8.0,39.0,2022-01-27,2026-01-26,4
Lithuania,Lithuania,UEFA,32.0,8.0,40.0,2022-01-27,2026-01-26,4
Luxembourg,Luxembourg,UEFA,32.0,8.0,40.0,2022-01-27,2026-01-26,4
Madagascar,Madagascar,CAF,27.0,6.0,33.0,2022-01-27,2026-01-26,4
Malawi,Malawi,CAF,28.0,6.0,34.0,2022-01-27,2026-01-26,4
Malaysia,Malaysia,AFC,43.0,8.0,51.0,2022-01-27,2026-01-26,4
Maldives,Maldives,AFC,18.0,7.0,25.0,2022-01-27,2026-01-26,4
Mali,Mali,CAF,31.0,11.0,42.0,2022-01-27,2026-01-26,4
Malta,Malta,UEFA,31.0,8.0,39.0,2022-01-27,2026-01-26,4
Martinique,Martinique,CONCACAF,20.0,2.0,22.0,2022-01-27,2026-01-26,4
Mauritania,Mauritania,CAF,31.0,9.0,40.0,2022-01-27,2026-01-26,4
Mauritius,Mauritius,CAF,28.0,4.0,32.0,2022-01-27,2026-01-26,4
Mexico,Mexico,CONCACAF,55.0,16.0,71.0,2022-01-27,2026-01-26,4
Moldova,Moldova,UEFA,31.0,8.0,39.0,2022-01-27,2026-01-26,4
Montenegro,Montenegro,UEFA,32.0,8.0,40.0,2022-01-27,2026-01-26,4
Montserrat,Montserrat,CONCACAF,19.0,2.0,21.0,2022-01-27,2026-01-26,4
Morocco,Morocco,CAF,41.0,21.0,62.0,2022-01-27,2026-01-26,4
Mozambique,Mozambique,CAF,36.0,11.0,47.0,2022-01-27,2026-01-26,4
Myanmar,Myanmar,AFC,34.0,4.0,38.0,2022-01-27,2026-01-26,4
Namibia,Namibia,CAF,28.0,6.0,34.0,2022-01-27,2026-01-26,4
Nepal,Nepal,AFC,30.0,7.0,37.0,2022-01-27,2026-01-26,4
Netherlands,Netherlands,UEFA,41.0,8.0,49.0,2022-01-27,2026-01-26,4
New Caledonia,New Caledonia,OFC,18.0,1.0,19.0,2022-01-27,2026-01-26,4
New Zealand,New Zealand,OFC,32.0,8.0,40.0,2022-01-27,2026-01-26,4
Nicaragua,Nicaragua,CONCACAF,33.0,9.0,42.0,2022-01-27,2026-01-26,4
Niger,Niger,CAF,26.0,8.0,34.0,2022-01-27,2026-01-26,4
Nigeria,Nigeria,CAF,35.0,15.0,50.0,2022-01-27,2026-01-26,4
North Korea,North Korea,AFC,16.0,2.0,18.0,2022-01-27,2026-01-26,4
North Macedonia,North Macedonia,UEFA,33.0,8.0,41.0,2022-01-27,2026-01-26,4
Northern Ireland,Northern Ireland,UEFA,30.0,8.0,38.0,2022-01-27,2026-01-26,4
Norway,Norway,UEFA,32.0,8.0,40.0,2022-01-27,2026-01-26,4
Oman,Oman,AFC,49.0,11.0,60.0,2022-01-27,2026-01-26,4
Pakistan,Pakistan,AFC,17.0,4.0,21.0,2022-01-27,2026-01-26,4
Palestine,Palestine,AFC,28.0,8.0,36.0,2022-01-27,2026-01-26,4
Panama,Panama,CONCACAF,50.0,14.0,64.0,2022-01-27,2026-01-26,4
Papua New Guinea,Papua New Guinea,OFC,25.0,3.0,28.0,2022-01-27,2026-01-26,4
Paraguay,Paraguay,CONMEBOL,33.0,8.0,41.0,2022-01-27,2026-01-26,4
Peru,Peru,CONMEBOL,35.0,6.0,41.0,2022-01-27,2026-01-26,4
Philippines,Philippines,AFC,36.0,4.0,40.0,2022-01-27,2026-01-26,4
Poland,Poland,UEFA,38.0,8.0,46.0,2022-01-27,2026-01-26,4
Portugal,Portugal,UEFA,42.0,8.0,50.0,2022-01-27,2026-01-26,4
Puerto Rico,Puerto Rico,CONCACAF,24.0,4.0,28.0,2022-01-27,2026-01-26,4
Qatar,Qatar,AFC,48.0,10.0,58.0,2022-01-27,2026-01-26,4
Republic of Ireland,Rep of Ireland,UEFA,32.0,8.0,40.0,2022-01-27,2026-01-26,4
Romania,Romania,UEFA,36.0,8.0,44.0,2022-01-27,2026-01-26,4
Rwanda,Rwanda,CAF,22.0,6.0,28.0,2022-01-27,2026-01-26,4
Saint Kitts and Nevis,St. Kitts and Nevis,CONCACAF,29.0,6.0,35.0,2022-01-27,2026-01-26,4
Saint Lucia,St. Lucia,CONCACAF,24.0,4.0,28.0,2022-01-27,2026-01-26,4
Saint Martin,St. Martin,CONCACAF,14.0,4.0,18.0,2022-01-27,2026-01-26,4
Saint Vincent and the Grenadines,St. Vincent and the Grenadines,CONCACAF,30.0,7.0,37.0,2022-01-27,2026-01-26,4
San Marino,San Marino,UEFA,32.0,8.0,40.0,2022-01-27,2026-01-26,4
Saudi Arabia,Saudi Arabia,AFC,51.0,18.0,69.0,2022-01-27,2026-01-26,4
Scotland,Scotland,UEFA,35.0,8.0,43.0,2022-01-27,2026-01-26,4
Senegal,Senegal,CAF,42.0,15.0,57.0,2022-01-27,2026-01-26,4
Serbia,Serbia,UEFA,37.0,8.0,45.0,2022-01-27,2026-01-26,4
Seychelles,Seychelles,CAF,20.0,4.0,24.0,2022-01-27,2026-01-26,4
Sierra Leone,Sierra Leone,CAF,27.0,4.0,31.0,2022-01-27,2026-01-26,4
Singapore,Singapore,AFC,37.0,8.0,45.0,2022-01-27,2026-01-26,4
Sint Maarten,Sint Maarten,CONCACAF,19.0,2.0,21.0,2022-01-27,2026-01-26,4
Slovakia,Slovakia,UEFA,36.0,8.0,44.0,2022-01-27,2026-01-26,4
Slovenia,Slovenia,UEFA,37.0,8.0,45.0,2022-01-27,2026-01-26,4
Solomon Islands,Solomon Islands,OFC,28.0,2.0,30.0,2022-01-27,2026-01-26,4
Somalia,Somalia,CAF,12.0,6.0,18.0,2022-01-27,2026-01-26,4
South Africa,South Africa,CAF,44.0,11.0,55.0,2022-01-27,2026-01-26,4
South Korea,South Korea,AFC,47.0,8.0,55.0,2022-01-27,2026-01-26,4
South Sudan,South Sudan,CAF,25.0,5.0,30.0,2022-01-27,2026-01-26,4
Spain,Spain,UEFA,42.0,8.0,50.0,2022-01-27,2026-01-26,4
Sri Lanka,Sri Lanka,AFC,17.0,7.0,24.0,2022-01-27,2026-01-26,4
Sudan,Sudan,CAF,27.0,13.0,40.0,2022-01-27,2026-01-26,4
Suriname,Suriname,CONCACAF,24.0,11.0,35.0,2022-01-27,2026-01-26,4
Sweden,Sweden,UEFA,35.0,8.0,43.0,2022-01-27,2026-01-26,4
Switzerland,Switzerland,UEFA,40.0,8.0,48.0,2022-01-27,2026-01-26,4
Syria,Syria,AFC,36.0,11.0,47.0,2022-01-27,2026-01-26,4
São Tomé and Príncipe,Sao Tome and Principe,CAF,16.0,4.0,20.0,2022-01-27,2026-01-26,4
Taiwan,Chinese Taipei,AFC,18.0,5.0,23.0,2022-01-27,2026-01-26,4
Tajikistan,Tajikistan,AFC,35.0,5.0,40.0,2022-01-27,2026-01-26,4
Tanzania,Tanzania,CAF,31.0,10.0,41.0,2022-01-27,2026-01-26,4
Thailand,Thailand,AFC,54.0,8.0,62.0,2022-01-27,2026-01-26,4
Togo,Togo,CAF,25.0,4.0,29.0,2022-01-27,2026-01-26,4
Trinidad and Tobago,Trinidad and Tobago,CONCACAF,39.0,13.0,52.0,2022-01-27,2026-01-26,4
Tunisia,Tunisia,CAF,39.0,16.0,55.0,2022-01-27,2026-01-26,4
Turkey,Turkey,UEFA,37.0,8.0,45.0,2022-01-27,2026-01-26,4
Turkmenistan,Turkmenistan,AFC,18.0,4.0,22.0,2022-01-27,2026-01-26,4
Turks and Caicos Islands,Turks and Caicos Islands,CONCACAF,18.0,1.0,19.0,2022-01-27,2026-01-26,4
Uganda,Uganda,CAF,28.0,11.0,39.0,2022-01-27,2026-01-26,4
Ukraine,Ukraine,UEFA,33.0,8.0,41.0,2022-01-27,2026-01-26,4
United Arab Emirates,United Arab Emirates,AFC,41.0,13.0,54.0,2022-01-27,2026-01-26,4
United States,USA,CONCACAF,52.0,14.0,66.0,2022-01-27,2026-01-26,4
United States Virgin Islands,US Virgin Islands,CONCACAF,16.0,1.0,17.0,2022-01-27,2026-01-26,4
Uruguay,Uruguay,CONMEBOL,41.0,8.0,49.0,2022-01-27,2026-01-26,4
Uzbekistan,Uzbekistan,AFC,41.0,7.0,48.0,2022-01-27,2026-01-26,4
Vanuatu,Vanuatu,OFC,23.0,3.0,26.0,2022-01-27,2026-01-26,4
Venezuela,Venezuela,CONMEBOL,35.0,7.0,42.0,2022-01-27,2026-01-26,4
Vietnam,Vietnam,AFC,45.0,4.0,49.0,2022-01-27,2026-01-26,4
Wales,Wales,UEFA,34.0,8.0,42.0,2022-01-27,2026-01-26,4
Yemen,Yemen,AFC,20.0,5.0,25.0,2022-01-27,2026-01-26,4
Zambia,Zambia,CAF,36.0,8.0,44.0,2022-01-27,2026-01-26,4
Zimbabwe,Zimbabwe,CAF,12.0,11.0,23.0,2022-01-27,2026-01-26,4
