rank_old,name,confed_old,off_old,def_old,spi_old,rank_new,confed_new,off_new,def_new,spi_new,_merge,rank_change,off_change,def_change,spi_change
6,Argentina,CONMEBOL,2.058661038947033,0.397346923648422,66.83324390243902,1,CONMEBOL,2.512459840641836,0.3395617875315242,71.43745528455284,both,5,0.4537988016948029,-0.057785136116897784,4.604211382113817
1,Spain,UEFA,2.7443401776395726,0.4620084952670452,72.3739756097561,2,UEFA,2.470102527558492,0.5227588880642358,68.88408130081301,both,-1,-0.2742376500810808,0.06075039279719058,-3.489894308943093
9,Brazil,CONMEBOL,1.9514949164860405,0.4694270081259273,64.8220487804878,3,CONMEBOL,2.340930537472698,0.5114770750632779,67.77113821138211,both,6,0.3894356209866576,0.04205006693735058,2.949089430894304
3,France,UEFA,2.625073418383068,0.6432854194299562,69.19518699186992,4,UEFA,2.395405568761464,0.567457246635934,67.58069105691057,both,-1,-0.22966784962160425,-0.07582817279402221,-1.6144959349593506
11,Netherlands,UEFA,2.097408362278532,0.6045119771501029,64.66742276422764,5,UEFA,2.4048563304982955,0.6046706164515826,67.27684552845528,both,6,0.3074479682197637,0.00015863930147974603,2.609422764227645
2,England,UEFA,2.187686751691134,0.187611025061881,70.74173983739837,6,UEFA,2.1690557529658867,0.4457969179452651,66.94873983739838,both,-4,-0.018630998725247316,0.2581858928833841,-3.792999999999992
7,Colombia,CONMEBOL,2.060754665332869,0.4581911362185942,66.08309756097562,7,CONMEBOL,2.108255386883722,0.5060515055674459,65.5299674796748,both,0,0.047500721550853164,0.04786036934885174,-0.5531300813008215
18,Germany,UEFA,1.8722627382778547,0.6768319309212337,61.3760569105691,8,UEFA,2.282493221297394,0.6994017986621214,64.92861788617887,both,10,0.4102304830195391,0.02256986774088765,3.5525609756097722
15,Italy,UEFA,2.015967637999019,0.7331165946327796,62.2398780487805,9,UEFA,2.2153994295492745,0.6521613111217553,64.82334959349593,both,6,0.1994317915502557,-0.08095528351102421,2.5834715447154366
16,Portugal,UEFA,2.2879967439633213,0.9678553375009054,62.20029268292683,10,UEFA,2.0461748674213043,0.6026668913852571,63.71933333333334,both,6,-0.24182187654201703,-0.36518844611564827,1.5190406504065095
40,Belgium,UEFA,1.753427919452076,0.8428857059157392,58.01167479674797,11,UEFA,2.069018019717786,0.632477338791048,63.56939024390243,both,29,0.31559010026570977,-0.21040836712469124,5.5577154471544645
