team,name,confed,prior_matches,evidence_window_start,prior_evidence_end,evidence_window_years
Argentina,Argentina,CONMEBOL,44.0,2022-01-27,2025-05-26,4
Brazil,Brazil,CONMEBOL,38.0,2022-01-27,2025-05-26,4
Spain,Spain,UEFA,42.0,2022-01-27,2025-05-26,4
Netherlands,Netherlands,UEFA,41.0,2022-01-27,2025-05-26,4
France,France,UEFA,43.0,2022-01-27,2025-05-26,4
England,England,UEFA,42.0,2022-01-27,2025-05-26,4
Germany,Germany,UEFA,40.0,2022-01-27,2025-05-26,4
Colombia,Colombia,CONMEBOL,38.0,2022-01-27,2025-05-26,4
Italy,Italy,UEFA,37.0,2022-01-27,2025-05-26,4
Belgium,Belgium,UEFA,38.0,2022-01-27,2025-05-26,4
Portugal,Portugal,UEFA,42.0,2022-01-27,2025-05-26,4
Croatia,Croatia,UEFA,41.0,2022-01-27,2025-05-26,4
Denmark,Denmark,UEFA,37.0,2022-01-27,2025-05-26,4
United States,USA,CONCACAF,52.0,2022-01-27,2025-05-26,4
Switzerland,Switzerland,UEFA,40.0,2022-01-27,2025-05-26,4
Uruguay,Uruguay,CONMEBOL,41.0,2022-01-27,2025-05-26,4
Poland,Poland,UEFA,38.0,2022-01-27,2025-05-26,4
Ecuador,Ecuador,CONMEBOL,40.0,2022-01-27,2025-05-26,4
Scotland,Scotland,UEFA,35.0,2022-01-27,2025-05-26,4
Morocco,Morocco,CAF,41.0,2022-01-27,2025-05-26,4
Austria,Austria,UEFA,36.0,2022-01-27,2025-05-26,4
Mexico,Mexico,CONCACAF,55.0,2022-01-27,2025-05-26,4
Serbia,Serbia,UEFA,37.0,2022-01-27,2025-05-26,4
Venezuela,Venezuela,CONMEBOL,35.0,2022-01-27,2025-05-26,4
Ukraine,Ukraine,UEFA,33.0,2022-01-27,2025-05-26,4
Sweden,Sweden,UEFA,35.0,2022-01-27,2025-05-26,4
Hungary,Hungary,UEFA,35.0,2022-01-27,2025-05-26,4
Turkey,Turkey,UEFA,37.0,2022-01-27,2025-05-26,4
Norway,Norway,UEFA,32.0,2022-01-27,2025-05-26,4
Japan,Japan,AFC,45.0,2022-01-27,2025-05-26,4
Greece,Greece,UEFA,32.0,2022-01-27,2025-05-26,4
Czech Republic,Czech Republic,UEFA,35.0,2022-01-27,2025-05-26,4
Canada,Canada,CONCACAF,42.0,2022-01-27,2025-05-26,4
Egypt,Egypt,CAF,38.0,2022-01-27,2025-05-26,4
Slovenia,Slovenia,UEFA,37.0,2022-01-27,2025-05-26,4
South Korea,South Korea,AFC,47.0,2022-01-27,2025-05-26,4
Georgia,Georgia,UEFA,34.0,2022-01-27,2025-05-26,4
Senegal,Senegal,CAF,42.0,2022-01-27,2025-05-26,4
Wales,Wales,UEFA,34.0,2022-01-27,2025-05-26,4
Peru,Peru,CONMEBOL,35.0,2022-01-27,2025-05-26,4
Bolivia,Bolivia,CONMEBOL,33.0,2022-01-27,2025-05-26,4
Slovakia,Slovakia,UEFA,36.0,2022-01-27,2025-05-26,4
Israel,Israel,UEFA,30.0,2022-01-27,2025-05-26,4
Iran,Iran,AFC,41.0,2022-01-27,2025-05-26,4
Algeria,Algeria,CAF,37.0,2022-01-27,2025-05-26,4
Mali,Mali,CAF,31.0,2022-01-27,2025-05-26,4
Australia,Australia,AFC,39.0,2022-01-27,2025-05-26,4
Paraguay,Paraguay,CONMEBOL,33.0,2022-01-27,2025-05-26,4
Chile,Chile,CONMEBOL,36.0,2022-01-27,2025-05-26,4
Panama,Panama,CONCACAF,50.0,2022-01-27,2025-05-26,4
Albania,Albania,UEFA,35.0,2022-01-27,2025-05-26,4
Iceland,Iceland,UEFA,38.0,2022-01-27,2025-05-26,4
Cameroon,Cameroon,CAF,36.0,2022-01-27,2025-05-26,4
Tunisia,Tunisia,CAF,39.0,2022-01-27,2025-05-26,4
Republic of Ireland,Rep of Ireland,UEFA,32.0,2022-01-27,2025-05-26,4
Nigeria,Nigeria,CAF,35.0,2022-01-27,2025-05-26,4
Ivory Coast,Ivory Coast,CAF,36.0,2022-01-27,2025-05-26,4
North Macedonia,North Macedonia,UEFA,33.0,2022-01-27,2025-05-26,4
DR Congo,Congo DR,CAF,36.0,2022-01-27,2025-05-26,4
Romania,Romania,UEFA,36.0,2022-01-27,2025-05-26,4
Guadeloupe,Guadeloupe,CONCACAF,26.0,2022-01-27,2025-05-26,4
Montenegro,Montenegro,UEFA,32.0,2022-01-27,2025-05-26,4
Costa Rica,Costa Rica,CONCACAF,46.0,2022-01-27,2025-05-26,4
South Africa,South Africa,CAF,44.0,2022-01-27,2025-05-26,4
Qatar,Qatar,AFC,48.0,2022-01-27,2025-05-26,4
