team,average_opponent_spi,median_opponent_spi
Myanmar,23.047441860465117,19.31
Montserrat,27.640909090909087,30.13
Papua New Guinea,20.1096,20.92
Somalia,34.598571428571425,34.425
Cayman Islands,14.102222222222222,10.68
Seychelles,27.846923076923076,30.7
Maldives,13.898214285714287,6.63
Bahamas,21.059545454545454,21.11
Bangladesh,17.340697674418607,9.93
French Guiana,29.449545454545447,30.365000000000002
Nepal,20.257317073170736,16.45
San Marino,41.005121951219515,35.07
Taiwan,21.42086956521739,19.31
Mongolia,16.69470588235294,11.07
British Virgin Islands,18.76166666666667,20.29
Bonaire,12.631111111111112,2.75
Cambodia,16.287105263157894,10.875
Turks and Caicos Islands,9.674736842105263,3.5
Guam,18.15222222222222,17.47
Guadeloupe,28.802258064516128,26.34
Anguilla,15.301578947368421,15.12
Brunei,12.460869565217392,7.01
United States Virgin Islands,9.047777777777778,6.66
Sri Lanka,13.964074074074073,7.04
Pakistan,24.967058823529413,21.28
Laos,13.645999999999999,9.91
Bhutan,11.113076923076923,6.63
Saint Martin,17.41,15.12
Sint Maarten,15.179473684210528,10.68
Tuvalu,8.47,9.16
East Timor,11.936666666666666,9.91
Macau,7.4399999999999995,6.675
Samoa,17.758999999999997,19.56
Tonga,5.575,0.52
