team,confed,off,def,spi
Faroe Islands,UEFA,0.9,1.69,28.16
Kyrgyzstan,AFC,0.85,1.62,28.08
Guyana,CONCACAF,1.15,2.1,27.2
Turkmenistan,AFC,0.87,1.73,26.68
Moldova,UEFA,0.81,1.64,26.64
Fiji,OFC,0.67,1.45,26.35
Martinique,CONCACAF,0.94,1.85,26.34
Palestine,AFC,0.73,1.61,25.24
Belize,CONCACAF,0.79,1.73,24.84
Suriname,CONCACAF,0.76,1.71,24.52
Antigua and Barbuda,CONCACAF,1.09,2.2,24.48
Chad,CAF,0.81,1.81,24.19
Malta,UEFA,0.77,1.78,23.51
Solomon Islands,OFC,0.69,1.71,22.71
South Sudan,CAF,0.67,1.69,22.53
Zanzibar,CAF,0.49,1.47,21.39
Tajikistan,AFC,0.76,1.93,21.28
Swaziland,CAF,0.64,1.73,21.27
Puerto Rico,CONCACAF,0.73,1.89,21.11
New Caledonia,OFC,0.69,1.85,20.92
Malaysia,AFC,0.76,1.98,20.71
Barbados,CONCACAF,0.54,1.61,20.53
Dominica,CONCACAF,0.55,1.65,20.29
Eritrea,CAF,0.79,2.1,19.77
Tahiti,OFC,0.81,2.15,19.56
Philippines,AFC,0.72,2.02,19.31
Singapore,AFC,0.65,2.05,17.47
Sao Tome and Principe,CAF,0.8,2.4,16.54
India,AFC,0.54,1.94,16.45
St. Vincent and the Grenadines,CONCACAF,0.7,2.23,16.4
Hong Kong,AFC,0.34,1.57,16.04
Grenada,CONCACAF,0.68,2.22,16.04
Vanuatu,OFC,0.64,2.17,15.99
Mauritius,CAF,0.7,2.31,15.5
St. Lucia,CONCACAF,0.64,2.24,15.12
Yemen,AFC,0.51,2.09,14.29
Liechtenstein,UEFA,0.52,2.39,11.54
Gibraltar,UEFA,0.47,2.3,11.5
Afghanistan,AFC,0.53,2.46,11.07
Aruba,CONCACAF,0.64,2.76,10.68
Andorra,UEFA,0.32,2.08,10.45
Djibouti,CAF,0.64,2.85,10.03
