team,xG,xGA,matches
Argentina,2.1482996237035623,0.804353559055788,11.0
Colombia,1.9551147977651926,0.5667340194939573,9.0
Brazil,2.5158089499047454,1.0086662172875331,9.0
Ecuador,1.520896797613019,0.9648267662670221,8.0
Paraguay,1.8669981532184294,0.6414800250495787,8.0
Uruguay,1.5552203475225188,0.9723385912904823,5.0
Venezuela,1.4215251035851484,0.8310809787500979,4.0
Bolivia,1.1464347148603358,1.3372001849407182,5.0
Chile,2.5456784403465207,1.1264889135026075,4.0
Peru,1.7268249602852193,1.2091982476710306,4.0
