team,confed,off,def,spi
Argentina,CONMEBOL,2.7391979231205954,0.3492213831307262,73.47777777777779
Brazil,CONMEBOL,2.5715892410555723,0.5498549941844474,69.68025821596244
Spain,UEFA,2.567771373072851,0.5643713682380692,69.53192488262911
Netherlands,UEFA,2.618859906892148,0.6382917735498188,69.07591549295775
France,UEFA,2.4992808947996883,0.5855879532586685,68.62836463223788
England,UEFA,2.29942443717591,0.5203963035671281,67.56892018779342
Germany,UEFA,2.507142266150295,0.744508560885613,66.82525821596244
Colombia,CONMEBOL,2.250653833674414,0.5453531481388241,66.82053990610329
Italy,UEFA,2.39963090601659,0.672151403622465,66.67447574334898
Belgium,UEFA,2.266897076244507,0.6245339654996918,66.01049295774648
Portugal,UEFA,2.125390822485993,0.5674736599351335,65.27411580594679
Croatia,UEFA,2.180639721363564,0.6584867789541109,64.73716744913928
Denmark,UEFA,2.1105049601624915,0.6549087121475059,64.07843505477308
USA,CONCACAF,1.996797046180688,0.6168373052624295,63.39201095461659
Uruguay,CONMEBOL,1.806985047461032,0.4875499802456838,63.0104303599374
Switzerland,UEFA,2.1612084335582016,0.7883227665897747,62.98205007824726
Poland,UEFA,2.1952545906500696,0.8209404038390749,62.96227699530517
Ecuador,CONMEBOL,1.8869464119333257,0.5709074463846332,62.76967918622848
Scotland,UEFA,2.00716075125593,0.6797832521124006,62.69605633802817
Morocco,CAF,1.811754767293883,0.5358776070019523,62.43338028169014
Austria,UEFA,2.11409920191006,0.8107237027921335,62.26627543035994
Mexico,CONCACAF,1.7991980426820229,0.5803333198091827,61.75449921752739
Serbia,UEFA,1.9952836320235976,0.7620894327111353,61.59487480438185
Venezuela,CONMEBOL,1.9253054146977944,0.7246119198555324,61.306400625978085
Ukraine,UEFA,1.999024643925464,0.7960698433061923,61.17200312989045
Sweden,UEFA,1.973909242584496,0.8083232066457398,60.759303599374014
Hungary,UEFA,1.835087527114328,0.7032336274440256,60.615
Japan,AFC,1.8540513187732577,0.7323385302136188,60.491541471048514
Norway,UEFA,1.908820990744328,0.7767955500200032,60.47216744913928
Turkey,UEFA,1.984636780953681,0.8426660690531879,60.45896713615024
Czech Republic,UEFA,1.974198177449184,0.8667178331393042,60.1079186228482
Greece,UEFA,1.7351864311906784,0.6582295739141604,60.06021909233177
Canada,CONCACAF,1.7894739201055787,0.7294157033690776,59.77885758998435
Egypt,CAF,1.6941768518096392,0.6556523929414856,59.63438967136151
Slovenia,UEFA,1.7705929120643378,0.7542241087363268,59.24164319248827
South Korea,AFC,1.6971629716764296,0.7411668813396,58.620399061032856
Georgia,UEFA,1.7135064727072424,0.7966391579279252,58.1120813771518
Senegal,CAF,1.6492547965978768,0.741906048857671,58.0718779342723
Wales,UEFA,1.7018914562781364,0.7917233968222195,58.02902973395931
Peru,CONMEBOL,1.5128663398917337,0.6438774626995604,57.74194053208138
Israel,UEFA,1.910854454892306,1.0507932765962913,57.243372456964
Bolivia,CONMEBOL,1.5906164802851024,0.7528555463864337,57.24097026604069
Slovakia,UEFA,1.6065882581864666,0.7728739415128537,57.194647887323946
Iran,AFC,1.61705296401611,0.7910435372788178,57.107730829420966
Algeria,CAF,1.699408559413842,0.8694611797070024,57.0787558685446
Mali,CAF,1.370662704852978,0.5756618348524686,56.93998435054773
Australia,AFC,1.521915217947186,0.7192110413470046,56.90242566510172
Paraguay,CONMEBOL,1.4336444850729546,0.6366178401273238,56.88818466353678
Chile,CONMEBOL,1.4300071186683254,0.6425660038923019,56.81115023474178
Panama,CONCACAF,1.6798374999304997,0.8963527265240251,56.49342723004695
Iceland,UEFA,1.6847432406039051,0.910996964993715,56.36657276995305
