team,xG,xGA,matches,confed
Argentina,2.0562095037565786,0.3970863979827151,7.0,CONMEBOL
Brazil,1.9478669148872918,0.4694332944485566,8.0,CONMEBOL
Spain,2.7410721085437952,0.46170557340298113,8.0,UEFA
Netherlands,2.091300844885477,0.6051583982807774,8.0,UEFA
France,2.625557217226761,0.6419797771476083,8.0,UEFA
England,2.1833441584214808,0.18763721016647789,8.0,UEFA
Germany,1.8727420579398628,0.6754097751861531,8.0,UEFA
Colombia,2.055591752603711,0.45849413133492256,8.0,CONMEBOL
Italy,2.013566943803193,0.732635917225984,8.0,UEFA
Belgium,1.7513398679627146,0.842333056966976,8.0,UEFA
Portugal,2.285272106722243,0.9672207505918254,8.0,UEFA
Croatia,1.6743814191170339,0.6524598611736917,8.0,UEFA
Denmark,2.030943436780574,0.7181813395399345,8.0,UEFA
United States,2.086990442269047,1.0558679882388662,14.0,CONCACAF
Uruguay,1.3429167175990744,0.4957820254761529,8.0,CONMEBOL
Switzerland,2.3737342527889105,0.4666216930842905,8.0,UEFA
Poland,2.1421410488645596,0.9402656911661318,8.0,UEFA
Ecuador,1.3761474688414397,0.2821683403612837,8.0,CONMEBOL
Scotland,1.9787885362653816,0.9031403619407337,8.0,UEFA
Morocco,1.5606608456164284,0.32149173421232163,21.0,CAF
Austria,1.630520757008899,0.8956520931816377,8.0,UEFA
Mexico,1.778660574736855,0.5775971811406526,16.0,CONCACAF
Serbia,1.0719525604600844,0.9732115969188941,8.0,UEFA
Venezuela,1.1886236798473053,0.7999163748988888,7.0,CONMEBOL
Ukraine,1.884932037584119,1.1726484341596894,8.0,UEFA
Sweden,1.6787487359676025,1.0977146216629379,8.0,UEFA
Hungary,2.1604772935210517,1.003154888323433,8.0,UEFA
Japan,1.622288576686181,0.6500231432650029,8.0,AFC
Norway,2.2041986183717945,0.6846696611653958,8.0,UEFA
Turkey,2.1029972289980425,1.0171492691062445,8.0,UEFA
Czech Republic,1.5736195534290227,0.5726212991943458,8.0,UEFA
Greece,1.9242108608822794,0.9641681475605633,8.0,UEFA
Canada,1.4758883221845325,0.4559783589256448,12.0,CONCACAF
Egypt,1.1740117122892744,0.9704710688422152,16.0,CAF
Slovenia,1.168632442851912,0.7944498264558923,8.0,UEFA
South Korea,2.047315642821569,0.3455769455067131,8.0,AFC
Georgia,1.5950954188596116,0.9771280708384713,8.0,UEFA
Senegal,2.0697852389656424,0.5680627615419566,15.0,CAF
Wales,1.5846261428892654,0.8870827957770822,8.0,UEFA
Peru,0.7474259256505638,0.7988781294669812,6.0,CONMEBOL
