date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,score_duration,status,source
2026-07-18,France,England,4,6,FIFA World Cup,,,TRUE,FINAL,FINISHED,user-confirmed
2026-07-19,Spain,Argentina,1,0,FIFA World Cup,,,TRUE,EXTRA_TIME,FINISHED,user-confirmed
