parameter,previous_stage2,stage3,change
prior_team_count,214.0,206.0,-8.0
observed_team_count,206.0,178.0,-28.0
strength_lower,0.05,0.05,0.0
strength_upper,0.95,0.95,0.0
strength_minimum,0.05,0.05,0.0
strength_maximum,0.95,0.95,0.0
strength_median,0.5,0.5,0.0
cutoff_quantile,0.07,0.07,0.0
cutoff_strength,0.113,0.113,0.0
adjustment_factor,0.3327777777777778,0.3327777777777778,0.0
dynamism_variable,0.025,0.025,0.0
low_team_defensive_p_c,3.784242871189775,3.784242871189775,0.0
adjusted_goal_cap,6.0,6.0,0.0
minimum_offensive_reward,0.01,0.01,0.0
low_team_defensive_penalty_cap,6.0,6.0,0.0
corrected_xga_percentile,0.95,0.95,0.0
corrected_xga_cap,8.728654671646698,8.396484358315535,-0.3321703133311633
global_mean_strength,0.5,0.5,0.0
global_median_strength,0.5,0.5,0.0
corrected_xg_median_before_scaling,3.507346571355047,3.7030226644707422,0.1956760931156953
clipped_xga_median_before_scaling,3.044190894413699,2.95960640687314,-0.0845844875405594
empirical_median_goals,1.0,1.0,0.0
prior_off_median,1.0,1.0,0.0
prior_def_median,1.0102011387012584,1.0,-0.0102011387012583
offensive_scaling_factor,0.2851158217916442,0.2700496568910214,-0.0150661649006227
defensive_scaling_factor,0.3284945112460158,0.3378827663292269,0.009388255083211
cap_off,3.3278688524590163,1.5316205533596838,-1.7962482990993325
cap_def,1.4444444444444444,2.083333333333333,0.6388888888888891
friendly_goal_weight,0.5,0.5,0.0
max_goal_calibration_target,5.99,5.99,0.0
simulations_per_ordered_matchup,10000.0,10000.0,0.0
carried_forward_team_count,0.0,28.0,28.0
