team,name,confed,incoming_prior_matches,stage3_matches,prior_matches
Luxembourg,Luxembourg,UEFA,49.0,2.0,51.0
Madagascar,Madagascar,CAF,39.0,3.0,42.0
Malawi,Malawi,CAF,50.0,3.0,53.0
Malaysia,Malaysia,AFC,61.0,0.0,61.0
Maldives,Maldives,AFC,35.0,2.0,37.0
Mali,Mali,CAF,55.0,1.0,56.0
Malta,Malta,UEFA,48.0,2.0,50.0
Martinique,Martinique,CONCACAF,25.0,2.0,27.0
Mauritania,Mauritania,CAF,57.0,3.0,60.0
Mauritius,Mauritius,CAF,32.0,0.0,32.0
Mexico,Mexico,CONCACAF,93.0,11.0,104.0
Moldova,Moldova,UEFA,50.0,4.0,54.0
Montenegro,Montenegro,UEFA,49.0,4.0,53.0
Montserrat,Montserrat,CONCACAF,24.0,0.0,24.0
Morocco,Morocco,CAF,78.0,11.0,89.0
Mozambique,Mozambique,CAF,61.0,1.0,62.0
Myanmar,Myanmar,AFC,47.0,1.0,48.0
Namibia,Namibia,CAF,44.0,2.0,46.0
Nepal,Nepal,AFC,48.0,0.0,48.0
Netherlands,Netherlands,UEFA,62.0,8.0,70.0
New Caledonia,New Caledonia,OFC,19.0,1.0,20.0
New Zealand,New Zealand,OFC,43.0,7.0,50.0
Nicaragua,Nicaragua,CONCACAF,48.0,2.0,50.0
Niger,Niger,CAF,45.0,4.0,49.0
Nigeria,Nigeria,CAF,63.0,6.0,69.0
North Korea,North Korea,AFC,18.0,0.0,18.0
North Macedonia,North Macedonia,UEFA,53.0,4.0,57.0
Northern Ireland,Northern Ireland,UEFA,47.0,4.0,51.0
Norway,Norway,UEFA,49.0,10.0,59.0
Oman,Oman,AFC,75.0,1.0,76.0
Pakistan,Pakistan,AFC,21.0,3.0,24.0
Palestine,Palestine,AFC,44.0,2.0,46.0
Panama,Panama,CONCACAF,81.0,8.0,89.0
Papua New Guinea,Papua New Guinea,OFC,28.0,0.0,28.0
Paraguay,Paraguay,CONMEBOL,56.0,8.0,64.0
Peru,Peru,CONMEBOL,60.0,4.0,64.0
Philippines,Philippines,AFC,47.0,1.0,48.0
Poland,Poland,UEFA,58.0,4.0,62.0
Portugal,Portugal,UEFA,63.0,9.0,72.0
Puerto Rico,Puerto Rico,CONCACAF,30.0,2.0,32.0
Qatar,Qatar,AFC,79.0,5.0,84.0
Republic of Ireland,Rep of Ireland,UEFA,49.0,5.0,54.0
Romania,Romania,UEFA,53.0,4.0,57.0
Rwanda,Rwanda,CAF,38.0,2.0,40.0
Saint Kitts and Nevis,St. Kitts and Nevis,CONCACAF,39.0,2.0,41.0
Saint Lucia,St. Lucia,CONCACAF,28.0,1.0,29.0
Saint Martin,St. Martin,CONCACAF,18.0,2.0,20.0
Saint Vincent and the Grenadines,St. Vincent and the Grenadines,CONCACAF,40.0,2.0,42.0
San Marino,San Marino,UEFA,49.0,4.0,53.0
Saudi Arabia,Saudi Arabia,AFC,81.0,8.0,89.0
Scotland,Scotland,UEFA,55.0,7.0,62.0
Senegal,Senegal,CAF,75.0,8.0,83.0
Serbia,Serbia,UEFA,54.0,4.0,58.0
Seychelles,Seychelles,CAF,30.0,0.0,30.0
Sierra Leone,Sierra Leone,CAF,39.0,3.0,42.0
Singapore,Singapore,AFC,56.0,1.0,57.0
Sint Maarten,Sint Maarten,CONCACAF,21.0,2.0,23.0
Slovakia,Slovakia,UEFA,56.0,4.0,60.0
Slovenia,Slovenia,UEFA,54.0,4.0,58.0
Solomon Islands,Solomon Islands,OFC,30.0,2.0,32.0
Somalia,Somalia,CAF,20.0,0.0,20.0
South Africa,South Africa,CAF,68.0,8.0,76.0
South Korea,South Korea,AFC,66.0,7.0,73.0
South Sudan,South Sudan,CAF,32.0,0.0,32.0
Spain,Spain,UEFA,65.0,11.0,76.0
Sri Lanka,Sri Lanka,AFC,34.0,0.0,34.0
Sudan,Sudan,CAF,58.0,0.0,58.0
Suriname,Suriname,CONCACAF,40.0,1.0,41.0
Sweden,Sweden,UEFA,56.0,8.0,64.0
Switzerland,Switzerland,UEFA,62.0,10.0,72.0
Syria,Syria,AFC,59.0,1.0,60.0
São Tomé and Príncipe,Sao Tome and Principe,CAF,20.0,0.0,20.0
Taiwan,Chinese Taipei,AFC,28.0,0.0,28.0
Tajikistan,Tajikistan,AFC,44.0,2.0,46.0
Tanzania,Tanzania,CAF,49.0,1.0,50.0
Thailand,Thailand,AFC,74.0,2.0,76.0
Togo,Togo,CAF,37.0,4.0,41.0
Trinidad and Tobago,Trinidad and Tobago,CONCACAF,60.0,4.0,64.0
Tunisia,Tunisia,CAF,74.0,7.0,81.0
Turkey,Turkey,UEFA,58.0,7.0,65.0
Turkmenistan,Turkmenistan,AFC,24.0,0.0,24.0
Turks and Caicos Islands,Turks and Caicos Islands,CONCACAF,20.0,0.0,20.0
Uganda,Uganda,CAF,51.0,0.0,51.0
Ukraine,Ukraine,UEFA,55.0,4.0,59.0
United Arab Emirates,United Arab Emirates,AFC,68.0,0.0,68.0
United States,USA,CONCACAF,85.0,9.0,94.0
United States Virgin Islands,US Virgin Islands,CONCACAF,19.0,1.0,20.0
Uruguay,Uruguay,CONMEBOL,64.0,5.0,69.0
Uzbekistan,Uzbekistan,AFC,55.0,7.0,62.0
Vanuatu,Vanuatu,OFC,26.0,1.0,27.0
Venezuela,Venezuela,CONMEBOL,56.0,4.0,60.0
Vietnam,Vietnam,AFC,65.0,1.0,66.0
Wales,Wales,UEFA,55.0,4.0,59.0
Yemen,Yemen,AFC,29.0,0.0,29.0
Zambia,Zambia,CAF,57.0,1.0,58.0
Zimbabwe,Zimbabwe,CAF,37.0,3.0,40.0
