team,xG,xGA,matches,confed
Kazakhstan,1.0201877998522861,1.184859794309348,53.0,UEFA
Kenya,0.7326739864422598,1.0462160334673007,37.0,CAF
Kosovo,1.953430224712185,0.6616934303063525,54.0,UEFA
Kuwait,1.3226157228250701,1.2387099016390883,62.0,AFC
Kyrgyzstan,1.5693613371732702,1.5424421225627416,45.0,AFC
Laos,0.004394137332700931,2.835099616993763,29.0,AFC
Latvia,0.9248052450315212,1.0123472615347309,52.0,UEFA
Lebanon,0.26415662332650586,0.6870476557507672,52.0,AFC
Lesotho,0.6221148188293614,0.9773058030528633,47.0,CAF
Liberia,1.18213243130802,1.462425140480918,44.0,CAF
Libya,0.9443063022835604,0.3693755419494265,46.0,CAF
Liechtenstein,0.22402807486019327,1.0959081441182545,52.0,UEFA
Lithuania,0.9450359257166724,0.9530256194977315,54.0,UEFA
Luxembourg,0.3551390148441705,1.0141066336081566,51.0,UEFA
Madagascar,1.7799937912609494,0.9788635220689237,42.0,CAF
Malawi,0.7755651699003654,1.0016273056800973,53.0,CAF
Malaysia,0.3096302175953503,0.677573903213204,61.0,AFC
Maldives,0.0021459558645627866,1.3725792915839052,37.0,AFC
Mali,1.3136541154037837,1.1255255604019467,56.0,CAF
Malta,1.2793466270459617,0.9858571143383059,50.0,UEFA
Martinique,0.0017499741164348412,1.4265092519056137,27.0,CONCACAF
Mauritania,0.47721335653750674,0.8746043073534837,60.0,CAF
Mauritius,0.4820498340659356,1.2951750607018115,32.0,CAF
Mexico,1.8223502048044842,0.5466592174654175,104.0,CONCACAF
Moldova,1.242684509402262,1.259510178345885,54.0,UEFA
Montenegro,0.9697694566211043,1.4325557701050926,53.0,UEFA
Montserrat,0.04140382497166781,2.737862037000874,24.0,CONCACAF
Morocco,1.6356433572399263,0.37896255588074984,89.0,CAF
Mozambique,0.9751954898086709,1.2294045415850918,62.0,CAF
Myanmar,0.20204213355480288,1.4733273389991426,48.0,AFC
Namibia,0.7311847198585592,1.476488230168947,46.0,CAF
Nepal,0.06512533370811069,1.5610875241988285,48.0,AFC
Netherlands,2.0959196857269,0.6713128869401226,70.0,UEFA
New Caledonia,0.4542232863872631,0.1144997996168839,20.0,OFC
New Zealand,1.6296101947209223,1.0129967179634012,50.0,OFC
