team,name,confed,incoming_prior_matches,stage4_matches,prior_matches,evidence_window_start,evidence_window_end,evidence_window_years
Lebanon,Lebanon,AFC,35.0,0.0,35.0,2022-07-20,2026-07-19,4
Lesotho,Lesotho,CAF,33.0,0.0,33.0,2022-07-20,2026-07-19,4
Liberia,Liberia,CAF,30.0,0.0,30.0,2022-07-20,2026-07-19,4
Libya,Libya,CAF,32.0,0.0,32.0,2022-07-20,2026-07-19,4
Liechtenstein,Liechtenstein,UEFA,37.0,0.0,37.0,2022-07-20,2026-07-19,4
Lithuania,Lithuania,UEFA,38.0,0.0,38.0,2022-07-20,2026-07-19,4
Luxembourg,Luxembourg,UEFA,36.0,0.0,36.0,2022-07-20,2026-07-19,4
Madagascar,Madagascar,CAF,32.0,0.0,32.0,2022-07-20,2026-07-19,4
Malawi,Malawi,CAF,32.0,0.0,32.0,2022-07-20,2026-07-19,4
Malaysia,Malaysia,AFC,44.0,0.0,44.0,2022-07-20,2026-07-19,4
Maldives,Maldives,AFC,23.0,0.0,23.0,2022-07-20,2026-07-19,4
Mali,Mali,CAF,39.0,0.0,39.0,2022-07-20,2026-07-19,4
Malta,Malta,UEFA,35.0,0.0,35.0,2022-07-20,2026-07-19,4
Martinique,Martinique,CONCACAF,21.0,0.0,21.0,2022-07-20,2026-07-19,4
Mauritania,Mauritania,CAF,39.0,0.0,39.0,2022-07-20,2026-07-19,4
Mauritius,Mauritius,CAF,24.0,0.0,24.0,2022-07-20,2026-07-19,4
Mexico,Mexico,CONCACAF,70.0,0.0,70.0,2022-07-20,2026-07-19,4
Moldova,Moldova,UEFA,37.0,0.0,37.0,2022-07-20,2026-07-19,4
Montenegro,Montenegro,UEFA,38.0,0.0,38.0,2022-07-20,2026-07-19,4
Montserrat,Montserrat,CONCACAF,18.0,0.0,18.0,2022-07-20,2026-07-19,4
Morocco,Morocco,CAF,67.0,0.0,67.0,2022-07-20,2026-07-19,4
Mozambique,Mozambique,CAF,40.0,0.0,40.0,2022-07-20,2026-07-19,4
Myanmar,Myanmar,AFC,35.0,0.0,35.0,2022-07-20,2026-07-19,4
Namibia,Namibia,CAF,32.0,0.0,32.0,2022-07-20,2026-07-19,4
Nepal,Nepal,AFC,30.0,0.0,30.0,2022-07-20,2026-07-19,4
Netherlands,Netherlands,UEFA,51.0,0.0,51.0,2022-07-20,2026-07-19,4
New Caledonia,New Caledonia,OFC,17.0,0.0,17.0,2022-07-20,2026-07-19,4
New Zealand,New Zealand,OFC,38.0,0.0,38.0,2022-07-20,2026-07-19,4
Nicaragua,Nicaragua,CONCACAF,38.0,0.0,38.0,2022-07-20,2026-07-19,4
Niger,Niger,CAF,34.0,0.0,34.0,2022-07-20,2026-07-19,4
Nigeria,Nigeria,CAF,50.0,0.0,50.0,2022-07-20,2026-07-19,4
North Korea,North Korea,AFC,18.0,0.0,18.0,2022-07-20,2026-07-19,4
North Macedonia,North Macedonia,UEFA,39.0,0.0,39.0,2022-07-20,2026-07-19,4
Northern Ireland,Northern Ireland,UEFA,36.0,0.0,36.0,2022-07-20,2026-07-19,4
Norway,Norway,UEFA,44.0,0.0,44.0,2022-07-20,2026-07-19,4
Oman,Oman,AFC,55.0,0.0,55.0,2022-07-20,2026-07-19,4
Pakistan,Pakistan,AFC,24.0,0.0,24.0,2022-07-20,2026-07-19,4
Palestine,Palestine,AFC,35.0,0.0,35.0,2022-07-20,2026-07-19,4
Panama,Panama,CONCACAF,62.0,0.0,62.0,2022-07-20,2026-07-19,4
Papua New Guinea,Papua New Guinea,OFC,24.0,0.0,24.0,2022-07-20,2026-07-19,4
Paraguay,Paraguay,CONMEBOL,43.0,0.0,43.0,2022-07-20,2026-07-19,4
Peru,Peru,CONMEBOL,39.0,0.0,39.0,2022-07-20,2026-07-19,4
Philippines,Philippines,AFC,36.0,0.0,36.0,2022-07-20,2026-07-19,4
Poland,Poland,UEFA,44.0,0.0,44.0,2022-07-20,2026-07-19,4
Portugal,Portugal,UEFA,53.0,0.0,53.0,2022-07-20,2026-07-19,4
Puerto Rico,Puerto Rico,CONCACAF,28.0,0.0,28.0,2022-07-20,2026-07-19,4
Qatar,Qatar,AFC,61.0,0.0,61.0,2022-07-20,2026-07-19,4
Republic of Ireland,Rep of Ireland,UEFA,39.0,0.0,39.0,2022-07-20,2026-07-19,4
Romania,Romania,UEFA,42.0,0.0,42.0,2022-07-20,2026-07-19,4
Rwanda,Rwanda,CAF,28.0,0.0,28.0,2022-07-20,2026-07-19,4
Saint Kitts and Nevis,St. Kitts and Nevis,CONCACAF,34.0,0.0,34.0,2022-07-20,2026-07-19,4
Saint Lucia,St. Lucia,CONCACAF,26.0,0.0,26.0,2022-07-20,2026-07-19,4
Saint Martin,St. Martin,CONCACAF,17.0,0.0,17.0,2022-07-20,2026-07-19,4
Saint Vincent and the Grenadines,St. Vincent and the Grenadines,CONCACAF,33.0,0.0,33.0,2022-07-20,2026-07-19,4
San Marino,San Marino,UEFA,38.0,0.0,38.0,2022-07-20,2026-07-19,4
Saudi Arabia,Saudi Arabia,AFC,71.0,0.0,71.0,2022-07-20,2026-07-19,4
Scotland,Scotland,UEFA,44.0,0.0,44.0,2022-07-20,2026-07-19,4
Senegal,Senegal,CAF,55.0,0.0,55.0,2022-07-20,2026-07-19,4
Serbia,Serbia,UEFA,43.0,0.0,43.0,2022-07-20,2026-07-19,4
Seychelles,Seychelles,CAF,18.0,0.0,18.0,2022-07-20,2026-07-19,4
Sierra Leone,Sierra Leone,CAF,29.0,0.0,29.0,2022-07-20,2026-07-19,4
Singapore,Singapore,AFC,40.0,0.0,40.0,2022-07-20,2026-07-19,4
Sint Maarten,Sint Maarten,CONCACAF,19.0,0.0,19.0,2022-07-20,2026-07-19,4
Slovakia,Slovakia,UEFA,42.0,0.0,42.0,2022-07-20,2026-07-19,4
Slovenia,Slovenia,UEFA,43.0,0.0,43.0,2022-07-20,2026-07-19,4
Solomon Islands,Solomon Islands,OFC,29.0,0.0,29.0,2022-07-20,2026-07-19,4
Somalia,Somalia,CAF,16.0,0.0,16.0,2022-07-20,2026-07-19,4
South Africa,South Africa,CAF,57.0,0.0,57.0,2022-07-20,2026-07-19,4
South Korea,South Korea,AFC,54.0,0.0,54.0,2022-07-20,2026-07-19,4
South Sudan,South Sudan,CAF,25.0,0.0,25.0,2022-07-20,2026-07-19,4
Spain,Spain,UEFA,55.0,1.0,56.0,2022-07-20,2026-07-19,4
Sri Lanka,Sri Lanka,AFC,21.0,0.0,21.0,2022-07-20,2026-07-19,4
Sudan,Sudan,CAF,36.0,0.0,36.0,2022-07-20,2026-07-19,4
Suriname,Suriname,CONCACAF,30.0,0.0,30.0,2022-07-20,2026-07-19,4
Sweden,Sweden,UEFA,45.0,0.0,45.0,2022-07-20,2026-07-19,4
Switzerland,Switzerland,UEFA,52.0,0.0,52.0,2022-07-20,2026-07-19,4
Syria,Syria,AFC,43.0,0.0,43.0,2022-07-20,2026-07-19,4
São Tomé and Príncipe,Sao Tome and Principe,CAF,16.0,0.0,16.0,2022-07-20,2026-07-19,4
Taiwan,Chinese Taipei,AFC,23.0,0.0,23.0,2022-07-20,2026-07-19,4
Tajikistan,Tajikistan,AFC,36.0,0.0,36.0,2022-07-20,2026-07-19,4
Tanzania,Tanzania,CAF,38.0,0.0,38.0,2022-07-20,2026-07-19,4
Thailand,Thailand,AFC,56.0,0.0,56.0,2022-07-20,2026-07-19,4
Togo,Togo,CAF,29.0,0.0,29.0,2022-07-20,2026-07-19,4
Trinidad and Tobago,Trinidad and Tobago,CONCACAF,49.0,0.0,49.0,2022-07-20,2026-07-19,4
Tunisia,Tunisia,CAF,55.0,0.0,55.0,2022-07-20,2026-07-19,4
Turkey,Turkey,UEFA,46.0,0.0,46.0,2022-07-20,2026-07-19,4
Turkmenistan,Turkmenistan,AFC,18.0,0.0,18.0,2022-07-20,2026-07-19,4
Turks and Caicos Islands,Turks and Caicos Islands,CONCACAF,13.0,0.0,13.0,2022-07-20,2026-07-19,4
Uganda,Uganda,CAF,34.0,0.0,34.0,2022-07-20,2026-07-19,4
Ukraine,Ukraine,UEFA,40.0,0.0,40.0,2022-07-20,2026-07-19,4
United Arab Emirates,United Arab Emirates,AFC,48.0,0.0,48.0,2022-07-20,2026-07-19,4
United States,USA,CONCACAF,65.0,0.0,65.0,2022-07-20,2026-07-19,4
United States Virgin Islands,US Virgin Islands,CONCACAF,14.0,0.0,14.0,2022-07-20,2026-07-19,4
Uruguay,Uruguay,CONMEBOL,47.0,0.0,47.0,2022-07-20,2026-07-19,4
Uzbekistan,Uzbekistan,AFC,49.0,0.0,49.0,2022-07-20,2026-07-19,4
Vanuatu,Vanuatu,OFC,26.0,0.0,26.0,2022-07-20,2026-07-19,4
Venezuela,Venezuela,CONMEBOL,40.0,0.0,40.0,2022-07-20,2026-07-19,4
Vietnam,Vietnam,AFC,45.0,0.0,45.0,2022-07-20,2026-07-19,4
Wales,Wales,UEFA,39.0,0.0,39.0,2022-07-20,2026-07-19,4
Yemen,Yemen,AFC,22.0,0.0,22.0,2022-07-20,2026-07-19,4
Zambia,Zambia,CAF,37.0,0.0,37.0,2022-07-20,2026-07-19,4
Zimbabwe,Zimbabwe,CAF,26.0,0.0,26.0,2022-07-20,2026-07-19,4
