round,label,group,team_a,team_b,score_a,score_b,score,winner,forecast,home_advantage_team,wins_a,draws,wins_b,prob_team_a,prob_draw,prob_team_b,expected_goals_a,expected_goals_b,note
Group stage,Group G,G,New Zealand,Egypt,2,1,2-1,New Zealand,team_a,,4312,2699,2989,0.4312,0.2699,0.2989,1.3447143007906157,1.0577335565136137,
Group stage,Group G,G,Egypt,Iran,0,2,0-2,Iran,team_b,,2975,3369,3656,0.2975,0.3369,0.3656,0.7600112090004016,0.8772316104838266,
Group stage,Group G,G,New Zealand,Belgium,1,2,1-2,Belgium,team_b,,3511,2588,3901,0.3511,0.2588,0.3901,1.2801541578188886,1.3472848792671537,
Group stage,Group H,H,Saudi Arabia,Uruguay,0,2,0-2,Uruguay,team_b,,2702,3056,4242,0.2702,0.3056,0.4242,0.9276494451161463,1.2014927982073762,
Group stage,Group H,H,Spain,Cape Verde Islands,2,0,2-0,Spain,team_a,,5668,2371,1961,0.5668,0.2371,0.1961,1.7080705812730868,0.8827383514570115,
Group stage,Group H,H,Uruguay,Cape Verde Islands,2,0,2-0,Uruguay,team_a,,3676,3256,3068,0.3676,0.3256,0.3068,1.0086431593324476,0.8996093858413134,
Group stage,Group H,H,Spain,Saudi Arabia,3,1,3-1,Spain,team_a,,6010,2176,1814,0.601,0.2176,0.1814,1.9009202201480155,0.9107784107318444,
Group stage,Group H,H,Cape Verde Islands,Saudi Arabia,2,0,2-0,Cape Verde Islands,team_a,,3967,2924,3109,0.3967,0.2924,0.3109,1.180484235151718,1.0156746555516223,
Group stage,Group H,H,Uruguay,Spain,0,2,0-2,Spain,team_b,,2140,2489,5371,0.214,0.2489,0.5371,0.9037469145126698,1.6200453708376108,
Group stage,Group I,I,France,Senegal,2,1,2-1,France,team_a,,4331,2380,3289,0.4331,0.238,0.3289,1.5968758237655343,1.3573268731586443,
Group stage,Group I,I,Iraq,Norway,0,2,0-2,Norway,team_b,,2083,2463,5454,0.2083,0.2463,0.5454,0.9079882322664636,1.6356562511724908,
Group stage,Group I,I,Norway,Senegal,1,1,1-1,draw,draw,,3787,2529,3684,0.3787,0.2529,0.3684,1.388501676181555,1.3786568372567805,
Group stage,Group I,I,France,Iraq,3,1,3-1,France,team_a,,5937,2291,1772,0.5937,0.2291,0.1772,1.8440303987564701,0.8866582681683276,
Group stage,Group I,I,Norway,France,1,3,1-3,France,team_b,,3392,2397,4211,0.3392,0.2397,0.4211,1.4258052713225327,1.6555093830046483,
Group stage,Group I,I,Senegal,Iraq,2,0,2-0,Senegal,team_a,,5406,2524,2070,0.5406,0.2524,0.207,1.5671778530086025,0.8493546730273498,
Group stage,Group J,J,Argentina,Algeria,2,1,2-1,Argentina,team_a,,4584,2640,2776,0.4584,0.264,0.2776,1.4062510486091209,1.0053546341159447,
Group stage,Group J,J,Austria,Jordan,1,1,1-1,draw,draw,,3715,2709,3576,0.3715,0.2709,0.3576,1.3050255824427226,1.2802987188972108,
Group stage,Group J,J,Argentina,Austria,2,0,2-0,Argentina,team_a,,4841,2604,2555,0.4841,0.2604,0.2555,1.4774503816659317,1.0149058422105874,
Group stage,Group J,J,Jordan,Algeria,1,2,1-2,Algeria,team_b,,3453,2705,3842,0.3453,0.2705,0.3842,1.2090993858404,1.2954743743480799,
Group stage,Group J,J,Algeria,Austria,1,1,1-1,draw,draw,,3704,2707,3589,0.3704,0.2707,0.3589,1.254801034484149,1.1931529095219808,
Group stage,Group J,J,Jordan,Argentina,1,2,1-2,Argentina,team_b,,2605,2587,4808,0.2605,0.2587,0.4808,1.0308523185290066,1.5181237215298626,
Group stage,Group K,K,Portugal,Congo DR,2,1,2-1,Portugal,team_a,,4016,2375,3609,0.4016,0.2375,0.3609,1.524376580424687,1.433421889115238,
Group stage,Group K,K,Uzbekistan,Colombia,0,2,0-2,Colombia,team_b,,2688,2856,4456,0.2688,0.2856,0.4456,0.8976492807645128,1.2547454303005785,
Group stage,Group K,K,Portugal,Uzbekistan,2,1,2-1,Portugal,team_a,,4158,2754,3088,0.4158,0.2754,0.3088,1.3683664696158047,1.1524813814056682,
Group stage,Group K,K,Colombia,Congo DR,2,1,2-1,Colombia,team_a,,4244,2611,3145,0.4244,0.2611,0.3145,1.4107555411094608,1.1785897884740826,
Group stage,Group K,K,Colombia,Portugal,2,1,2-1,Colombia,team_a,,4091,2478,3431,0.4091,0.2478,0.3431,1.5143050014168873,1.3730939400909579,
Group stage,Group K,K,Congo DR,Uzbekistan,2,0,2-0,Congo DR,team_a,,3985,2875,3140,0.3985,0.2875,0.314,1.1738623179989294,1.048931921098242,
Group stage,Group L,L,Ghana,Panama,2,0,2-0,Ghana,team_a,,3966,2759,3275,0.3966,0.2759,0.3275,1.2361016752241651,1.0827430530352409,
Group stage,Group L,L,England,Croatia,2,0,2-0,England,team_a,,4754,2809,2437,0.4754,0.2809,0.2437,1.4208960023894854,0.9304344657928569,
