prior_rank,name,prior_off,prior_def,prior_spi,new_rank,new_off,new_def,new_spi,rank_change,off_change,def_change,spi_change,status
47,Ivory Coast,1.3505188919090767,0.6085546088053622,56.27160162601626,1,2.710681373196609,0.4778168870193129,72.72280487804879,46,1.3601624812875321,-0.13073772178604925,16.451203252032528,rated
34,Japan,1.6276144140216942,0.6490942018698191,59.00099186991871,2,2.628451786692103,0.5197180245554828,71.50548780487806,32,1.000837372670409,-0.12937617731433637,12.504495934959351,rated
17,Mexico,1.784809373001958,0.5771517343604208,61.69815447154471,3,2.3173668948128805,0.3293081515068385,71.10768292682927,14,0.5325575218109224,-0.24784358285358227,9.409528455284558,rated
54,Ukraine,1.88446725154041,1.175106576683382,55.51372357723577,4,2.41621283236384,0.6366240438230983,68.2638861788618,50,0.5317455808234299,-0.5384825328602836,12.750162601626023,rated
160,Rwanda,0.3838622733107503,1.201091846738796,36.15678861788618,5,1.4922548845178003,0.00366874825728239,67.2510081300813,155,1.1083926112070501,-1.1974230984815137,31.094219512195124,rated
3,France,2.625073418383068,0.6432854194299562,69.19518699186992,6,2.4057749489734563,0.7750502400198407,66.50629268292683,-3,-0.21929846940961184,0.13176482058988448,-2.688894308943091,rated
13,Morocco,1.56153796859142,0.3218128537500432,62.5369105691057,7,2.2975511199005036,0.8082023676071818,65.07747967479675,6,0.7360131513090837,0.4863895138571386,2.5405691056910484,rated
9,Brazil,1.9514949164860405,0.4694270081259273,64.8220487804878,8,2.5158089499047454,1.0086662172875331,64.81359349593497,1,0.5643140334187049,0.5392392091616058,-0.008455284552837838,rated
7,Colombia,2.060754665332869,0.4581911362185942,66.08309756097562,9,1.9551147977651924,0.5667340194939574,64.58184552845529,-2,-0.10563986756767663,0.10854288327536321,-1.501252032520327,rated
33,USA,2.0929703549364342,1.054837015477059,59.12760162601626,10,2.3963972821940214,0.9409226190271212,64.41616260162601,23,0.30342692725758713,-0.11391439644993784,5.288560975609755,rated
1,Spain,2.7443401776395726,0.4620084952670452,72.3739756097561,11,1.7296959626963941,0.40399828216018585,64.31474796747968,-10,-1.0146442149431785,-0.05801021310685933,-8.059227642276426,rated
15,Italy,2.015967637999019,0.7331165946327796,62.2398780487805,12,1.6972736389930616,0.3800489368497487,64.3000569105691,3,-0.3186939990059572,-0.35306765778303084,2.0601788617886,rated
40,Belgium,1.753427919452076,0.8428857059157392,58.01167479674797,13,2.297625872669307,0.8742695213190829,64.27848780487805,27,0.544197953217231,0.03138381540334367,6.266813008130086,rated
65,Israel,1.395312905528452,0.9122076090947746,52.95612195121952,14,2.07406119989299,0.7077328498060591,64.06095934959349,51,0.678748294364538,-0.2044747592887155,11.104837398373967,rated
97,Chile,0.9798774894731498,0.8804546298652278,48.13613008130081,15,2.5456784403465207,1.1264889135026075,63.73426829268293,82,1.565800950873371,0.24603428363737967,15.598138211382114,rated
6,Argentina,2.058661038947033,0.397346923648422,66.83324390243902,16,2.1482996237035623,0.804353559055788,63.59513008130081,-10,0.0896385847565293,0.407006635407366,-3.2381138211382137,rated
78,Malta,1.2607788214087237,1.0044554379640556,50.21107317073172,17,2.0547068991274786,0.7323864571708727,63.58166666666667,61,0.793928077718755,-0.27206898079318287,13.370593495934948,rated
87,Egypt,1.174325273944996,0.9720059918591932,49.5179674796748,18,2.2853124891898764,0.939650547925446,63.41114634146342,69,1.1109872152448803,-0.03235544393374723,13.89317886178862,rated
14,Denmark,2.031783283694617,0.7191598454498641,62.53540650406504,19,1.9125194983900276,0.6302979113888284,63.35017073170731,-5,-0.11926378530458948,-0.08886193406103571,0.8147642276422715,rated
10,Norway,2.208325123215109,0.6859453476262284,64.72063414634147,20,2.4362796560375775,1.0793619537627976,63.216886178861785,-10,0.22795453282246836,0.39341660613656926,-1.5037479674796828,rated
22,Paraguay,1.827741258014154,0.688222501397397,60.760130081300815,21,1.8669981532184294,0.6414800250495787,62.7540325203252,1,0.03925689520427533,-0.04674247634781836,1.9939024390243816,rated
18,Germany,1.8722627382778547,0.6768319309212337,61.3760569105691,22,2.459691313887392,1.1473735285561109,62.676878048780495,-4,0.5874285756095372,0.47054159763487713,1.300821138211397,rated
