cutoff_quantile,cutoff_strength,low_team_p_c,observed_teams,teams_below_one_on_both,offending_teams,selection_rule
0.11,0.149,4.477982848620433,178,51,North Macedonia|Faroe Islands|Niger|South Africa|Comoros|Palestine|China PR|Kyrgyzstan|Angola|Malawi|Indonesia|Jamaica|Ethiopia|Mozambique|Zimbabwe|Vanuatu|Guyana|Lesotho|Tanzania|Andorra|Cambodia|Qatar|Puerto Rico|Nicaragua|Namibia|Bonaire|Equatorial Guinea|Gibraltar|Luxembourg|Botswana|San Marino|Afghanistan|Bangladesh|El Salvador|Liechtenstein|Fiji|Aruba|Central African Republic|Hong Kong|British Virgin Islands|Pakistan|Tajikistan|Cayman Islands|Cuba|Vietnam|Dominica|India|Philippines|Saint Martin|Bhutan|Sint Maarten,previous_cutoff_retained_no_diagnostic_solution
0.12,0.15799999999999997,4.602021800281294,178,49,North Macedonia|Faroe Islands|Niger|South Africa|Comoros|Palestine|China PR|Kyrgyzstan|Angola|Malawi|Indonesia|Jamaica|Ethiopia|Mozambique|Zimbabwe|Vanuatu|Guyana|Lesotho|Tanzania|Andorra|Cambodia|Qatar|Puerto Rico|Nicaragua|Namibia|Bonaire|Equatorial Guinea|Gibraltar|Luxembourg|Botswana|San Marino|Afghanistan|Bangladesh|El Salvador|Liechtenstein|Fiji|Aruba|Central African Republic|Hong Kong|British Virgin Islands|Pakistan|Tajikistan|Cayman Islands|Cuba|Vietnam|Dominica|India|Saint Martin|Sint Maarten,previous_cutoff_retained_no_diagnostic_solution
0.13,0.16699999999999998,4.71269128409847,178,48,North Macedonia|Faroe Islands|Niger|South Africa|Comoros|Palestine|China PR|Kyrgyzstan|Angola|Malawi|Indonesia|Jamaica|Ethiopia|Mozambique|Zimbabwe|Vanuatu|Guyana|Lesotho|Tanzania|Andorra|Cambodia|Qatar|Puerto Rico|Nicaragua|Namibia|Bonaire|Equatorial Guinea|Gibraltar|Luxembourg|Botswana|San Marino|Afghanistan|Bangladesh|El Salvador|Liechtenstein|Fiji|Aruba|Central African Republic|Hong Kong|British Virgin Islands|Pakistan|Tajikistan|Cayman Islands|Vietnam|Dominica|India|Saint Martin|Sint Maarten,previous_cutoff_retained_no_diagnostic_solution
0.14,0.176,4.812042297979799,178,47,North Macedonia|Faroe Islands|Niger|South Africa|Saudi Arabia|Comoros|Palestine|China PR|Kyrgyzstan|Angola|Malawi|Indonesia|Jamaica|Ethiopia|Mozambique|Zimbabwe|Vanuatu|Guyana|Lesotho|Tanzania|Andorra|Cambodia|Qatar|Puerto Rico|Nicaragua|Namibia|Equatorial Guinea|Gibraltar|Luxembourg|Guinea-Bissau|Botswana|San Marino|Bangladesh|El Salvador|Liechtenstein|Fiji|Aruba|Central African Republic|Hong Kong|British Virgin Islands|Pakistan|Cayman Islands|Vietnam|Dominica|India|Saint Martin|Sint Maarten,previous_cutoff_retained_no_diagnostic_solution
0.15,0.185,4.901726726726728,178,46,North Macedonia|Faroe Islands|Niger|South Africa|Saudi Arabia|Comoros|Palestine|China PR|Kyrgyzstan|Angola|Malawi|Indonesia|Jamaica|Ethiopia|Mozambique|Zimbabwe|Vanuatu|Guyana|Lesotho|Tanzania|Andorra|Cambodia|Qatar|Puerto Rico|Nicaragua|Namibia|Equatorial Guinea|Gibraltar|Luxembourg|Guinea-Bissau|Botswana|San Marino|Bangladesh|El Salvador|Liechtenstein|Fiji|Aruba|Central African Republic|Hong Kong|British Virgin Islands|Pakistan|Cayman Islands|Vietnam|Dominica|India|Sint Maarten,previous_cutoff_retained_no_diagnostic_solution
0.16,0.194,4.983089919816725,178,44,North Macedonia|Faroe Islands|Niger|South Africa|Saudi Arabia|Comoros|Palestine|China PR|Kyrgyzstan|Angola|Malawi|Indonesia|Jamaica|Ethiopia|Mozambique|Zimbabwe|Vanuatu|Guyana|Lesotho|Tanzania|Andorra|Cambodia|Qatar|Puerto Rico|Nicaragua|Namibia|Equatorial Guinea|Gibraltar|Luxembourg|Guinea-Bissau|Botswana|San Marino|Bangladesh|El Salvador|Liechtenstein|Fiji|Aruba|Central African Republic|Hong Kong|British Virgin Islands|Pakistan|Vietnam|Dominica|Sint Maarten,previous_cutoff_retained_no_diagnostic_solution
0.17,0.203,5.057238642583472,178,44,North Macedonia|Faroe Islands|Niger|South Africa|Saudi Arabia|Comoros|Palestine|China PR|Kyrgyzstan|Angola|Malawi|Indonesia|Jamaica|Ethiopia|Mozambique|Zimbabwe|Vanuatu|Guyana|Lesotho|Tanzania|Andorra|Cambodia|Qatar|Puerto Rico|Nicaragua|Namibia|Equatorial Guinea|Gibraltar|Luxembourg|Guinea-Bissau|Botswana|San Marino|Bangladesh|El Salvador|Liechtenstein|Fiji|Aruba|Central African Republic|Hong Kong|British Virgin Islands|Pakistan|Vietnam|Dominica|Sint Maarten,previous_cutoff_retained_no_diagnostic_solution
0.18,0.21199999999999997,5.125091719077568,178,44,North Macedonia|Faroe Islands|Niger|South Africa|Saudi Arabia|Comoros|Palestine|China PR|Kyrgyzstan|Angola|Malawi|Indonesia|Jamaica|Ethiopia|Mozambique|Zimbabwe|Vanuatu|Guyana|Lesotho|Tanzania|Andorra|Cambodia|Qatar|Puerto Rico|Nicaragua|Namibia|Equatorial Guinea|Gibraltar|Luxembourg|Guinea-Bissau|Botswana|San Marino|Bangladesh|El Salvador|Liechtenstein|Fiji|Aruba|Central African Republic|Hong Kong|British Virgin Islands|Pakistan|Vietnam|Dominica|Sint Maarten,previous_cutoff_retained_no_diagnostic_solution
0.19,0.22099999999999997,5.187418300653595,178,43,North Macedonia|Faroe Islands|Niger|South Africa|Saudi Arabia|Comoros|Palestine|China PR|Kyrgyzstan|Angola|Malawi|Indonesia|Jamaica|Ethiopia|Mozambique|Zimbabwe|Vanuatu|Guyana|Lesotho|Tanzania|Andorra|Cambodia|Qatar|Puerto Rico|Nicaragua|Namibia|Equatorial Guinea|Gibraltar|Luxembourg|Guinea-Bissau|Botswana|San Marino|Bangladesh|El Salvador|Liechtenstein|Fiji|Central African Republic|Hong Kong|British Virgin Islands|Pakistan|Vietnam|Dominica|Sint Maarten,previous_cutoff_retained_no_diagnostic_solution
0.2,0.22999999999999998,5.244867149758455,178,43,North Macedonia|Faroe Islands|Niger|South Africa|Saudi Arabia|Cyprus|Comoros|Palestine|China PR|Kyrgyzstan|Angola|Malawi|Indonesia|Jamaica|Ethiopia|Mozambique|Zimbabwe|Vanuatu|Guyana|Lesotho|Andorra|Cambodia|Qatar|Puerto Rico|Nicaragua|Namibia|Equatorial Guinea|Gibraltar|Luxembourg|Guinea-Bissau|Botswana|San Marino|Bangladesh|El Salvador|Liechtenstein|Fiji|Central African Republic|Hong Kong|British Virgin Islands|Pakistan|Vietnam|Dominica|Sint Maarten,previous_cutoff_retained_no_diagnostic_solution
0.21,0.239,5.297989307298932,178,42,North Macedonia|Faroe Islands|Niger|South Africa|Saudi Arabia|Cyprus|Comoros|Palestine|China PR|Kyrgyzstan|Angola|Malawi|Indonesia|Jamaica|Ethiopia|Mozambique|Zimbabwe|Vanuatu|Guyana|Lesotho|Andorra|Cambodia|Qatar|Puerto Rico|Nicaragua|Namibia|Equatorial Guinea|Gibraltar|Luxembourg|Guinea-Bissau|Botswana|San Marino|Burundi|El Salvador|Liechtenstein|Fiji|Central African Republic|Hong Kong|British Virgin Islands|Vietnam|Dominica|Sint Maarten,previous_cutoff_retained_no_diagnostic_solution
0.22,0.248,5.347255824372762,178,42,North Macedonia|Faroe Islands|Niger|South Africa|Saudi Arabia|Cyprus|Comoros|Palestine|China PR|Kyrgyzstan|Angola|Malawi|Indonesia|Jamaica|Ethiopia|Mozambique|Zimbabwe|Vanuatu|Guyana|Lesotho|Andorra|Cambodia|Qatar|Puerto Rico|Nicaragua|Namibia|Equatorial Guinea|Gibraltar|Luxembourg|Guinea-Bissau|Botswana|San Marino|Burundi|El Salvador|Liechtenstein|Fiji|Central African Republic|Hong Kong|British Virgin Islands|Vietnam|Dominica|Sint Maarten,previous_cutoff_retained_no_diagnostic_solution
0.23,0.257,5.393071768266322,178,42,North Macedonia|Faroe Islands|Niger|South Africa|Saudi Arabia|Cyprus|Comoros|Palestine|China PR|Kyrgyzstan|Angola|Malawi|Indonesia|Jamaica|Ethiopia|Mozambique|Zimbabwe|Vanuatu|Guyana|Lesotho|Andorra|Cambodia|Qatar|Puerto Rico|Nicaragua|Namibia|Equatorial Guinea|Gibraltar|Luxembourg|Guinea-Bissau|Botswana|San Marino|Burundi|El Salvador|Liechtenstein|Fiji|Central African Republic|Hong Kong|British Virgin Islands|Vietnam|Dominica|Sint Maarten,previous_cutoff_retained_no_diagnostic_solution
0.24,0.26599999999999996,5.4357873851294904,178,42,Scotland|North Macedonia|Faroe Islands|Niger|South Africa|Saudi Arabia|Cyprus|Comoros|Palestine|China PR|Kyrgyzstan|Angola|Malawi|Indonesia|Jamaica|Ethiopia|Mozambique|Zimbabwe|Vanuatu|Guyana|Lesotho|Andorra|Cambodia|Qatar|Puerto Rico|Nicaragua|Namibia|Equatorial Guinea|Gibraltar|Luxembourg|Guinea-Bissau|Botswana|San Marino|El Salvador|Liechtenstein|Fiji|Central African Republic|Hong Kong|British Virgin Islands|Vietnam|Dominica|Sint Maarten,previous_cutoff_retained_no_diagnostic_solution
0.25,0.27499999999999997,5.475707070707071,178,41,Scotland|North Macedonia|Faroe Islands|Niger|South Africa|Saudi Arabia|Cyprus|Comoros|Palestine|China PR|Kyrgyzstan|Angola|Malawi|Indonesia|Jamaica|Ethiopia|Mozambique|Zimbabwe|Vanuatu|Guyana|Lesotho|Andorra|Cambodia|Qatar|Puerto Rico|Nicaragua|Namibia|Equatorial Guinea|Gibraltar|Luxembourg|Guinea-Bissau|Botswana|San Marino|El Salvador|Liechtenstein|Fiji|Central African Republic|British Virgin Islands|Vietnam|Dominica|Sint Maarten,previous_cutoff_retained_no_diagnostic_solution
