team,name,confed,prior_matches,stage2_matches,stage1_matches,new_matches,total_matches,prior_weight,new_weight,prior_off,prior_xG_scaled,new_xG,pooled_xG_pre_normalization,xG,prior_def,prior_xGA_scaled,new_xGA,pooled_xGA_pre_normalization,xGA
Brazil,Brazil,CONMEBOL,62.0,8.0,54.0,9.0,71.0,0.8732394366197183,0.1267605633802817,1.9514949164860405,1.9514949164860405,2.5158089499047454,2.0230276812855945,2.0023842674948127,0.4694270081259273,0.4694270081259273,1.0086662172875331,0.53778127407599,0.5336051467137455
British Virgin Islands,British Virgin Islands,CONCACAF,24.0,6.0,18.0,4.0,28.0,0.8571428571428571,0.14285714285714285,0.1611061277648793,0.1611061277648793,0.0615734792603756,0.14688717797852163,0.14538830931566482,1.5828700318304298,1.5828700318304298,0.5160953839423477,1.4304736535607039,1.4193653453068158
Brunei,Brunei,AFC,28.0,5.0,23.0,0.0,28.0,1.0,0.0,0.0010657709732887,0.0010657709732887,0.0010657709732887,0.0010657709732887,0.0010548956148290363,2.867315150197835,2.867315150197835,2.867315150197835,2.867315150197835,2.845049084360021
Bulgaria,Bulgaria,UEFA,50.0,8.0,42.0,4.0,54.0,0.9259259259259259,0.07407407407407407,0.9986401538725918,0.9986401538725918,0.9581134809744076,0.9956381781023559,0.985478469915167,1.2318544171725596,1.2318544171725596,1.443085481035513,1.2475011626438894,1.237813722803779
Burkina Faso,Burkina Faso,CAF,66.0,12.0,54.0,3.0,69.0,0.9565217391304348,0.043478260869565216,1.3061952246575534,1.3061952246575534,1.0051166995719245,1.2931048540016563,1.27990973125422,0.8625962639617688,0.8625962639617688,1.339442816491082,0.8833287227673912,0.8764692551235175
Burundi,Burundi,CAF,31.0,6.0,25.0,1.0,32.0,0.96875,0.03125,0.1438788304080051,0.1438788304080051,0.0048464033546442,0.13953406706258756,0.13811023114035578,0.9360719657661052,0.9360719657661052,1.1296433883798565,0.942121072722785,0.9348050545198365
Cambodia,Cambodia,AFC,40.0,2.0,38.0,2.0,42.0,0.9523809523809523,0.047619047619047616,0.2365972969066637,0.2365972969066637,0.0584189145255686,0.22811261203137345,0.22578490140011445,0.612822590969901,0.612822590969901,0.0064373575369415,0.5839471036635696,0.5794124766780858
Cameroon,Cameroon,CAF,60.0,12.0,48.0,2.0,62.0,0.967741935483871,0.03225806451612903,1.3023368817290788,1.3023368817290788,1.1463910917565738,1.297306372375127,1.2840683764217848,0.9327626053530752,0.9327626053530752,0.7187300798617473,0.925858330337226,0.9186686000634698
Canada,Canada,CONCACAF,71.0,12.0,59.0,9.0,80.0,0.8875,0.1125,1.4791375284481203,1.4791375284481203,1.89078927298772,1.5254483497088251,1.509882343474302,0.4558413962428133,0.4558413962428133,0.7249787810852323,0.48611935203758544,0.48234440407040524
Cape Verde,Cape Verde Islands,CAF,54.0,9.0,45.0,8.0,62.0,0.8709677419354839,0.12903225806451613,1.303468207646978,1.303468207646978,1.2773842352559055,1.3001025337900654,1.2868360051984167,0.6718009849066008,0.6718009849066008,1.0065116577652522,0.7149894588238462,0.7094372256267328
