team,xG,xGA,matches
Spain,1.7296959626963941,0.40399828216018585,11.0
England,1.9772336634643444,0.8316268047346979,11.0
France,2.4057749489734563,0.7750502400198407,11.0
Switzerland,1.9645384737589486,0.8956034569333565,10.0
Norway,2.4362796560375775,1.0793619537627976,10.0
Netherlands,2.2734498996385923,1.2349912354363668,8.0
Kosovo,1.629578886225967,1.0870338684435539,4.0
Denmark,1.9125194983900273,0.6302979113888284,4.0
Italy,1.6972736389930616,0.3800489368497487,4.0
Portugal,1.7629820806292815,0.6744237043759093,9.0
Germany,2.459691313887392,1.1473735285561109,8.0
Poland,1.7790672152026323,1.3855502669943296,4.0
Hungary,1.3037778549525483,0.7489524112404417,4.0
Northern Ireland,1.5697515868541267,0.9244698569805958,4.0
Republic of Ireland,1.2875128790411363,0.6309401969687357,5.0
Iceland,0.830168453180619,1.2070575783641602,5.0
Scotland,1.0246323283673913,0.9129641837959153,7.0
Turkey,1.8416240804410007,0.7058851233205449,7.0
Croatia,2.2884135335778755,1.0565663221757888,8.0
Czech Republic,2.2491690698312903,1.2031150841318798,7.0
Greece,0.6671473034904976,0.8400226426804501,4.0
Slovakia,1.9588660936614504,1.1049869602707536,4.0
Belgium,2.297625872669307,0.8742695213190829,10.0
Bosnia and Herzegovina,1.714237687387652,1.1602031196529246,8.0
North Macedonia,0.004484800277490159,0.611379736019862,4.0
Albania,0.5143359178569397,1.3223246616504376,4.0
Faroe Islands,0.7222054327251312,1.2788913754754405,3.0
Austria,1.8331861007237054,0.839068977577669,7.0
Romania,1.0607731071586197,1.1851107017241234,4.0
Wales,2.1369054500282005,1.16742805588467,4.0
Ukraine,2.4162128323638394,0.6366240438230985,4.0
Belarus,1.7317643091744412,1.0614794780843557,4.0
Georgia,1.7045663752483158,0.7568293716224223,4.0
Sweden,2.36679988813706,1.2095337677093978,8.0
Israel,2.07406119989299,0.7077328498060591,2.0
Slovenia,1.3131448678883393,1.298012045877792,4.0
Estonia,1.0697839707122836,1.0742928058217394,4.0
Malta,2.0547068991274786,0.7323864571708727,2.0
Azerbaijan,0.3542758043462884,2.572431713538589,4.0
Cyprus,0.8725754177865976,1.0851425145709528,4.0
Serbia,1.234142692293067,1.1399913728479285,4.0
Armenia,1.0043662945176184,1.2655975826800834,3.0
Finland,1.865423668130693,0.9551914758237535,4.0
Moldova,1.0216210641191819,1.7179209697279874,4.0
Lithuania,0.9318733566393285,1.3161849202635811,4.0
Latvia,1.0074465913399449,1.6223500399846271,2.0
Bulgaria,0.9581134809744076,1.443085481035513,4.0
Kazakhstan,1.5597471264790468,0.6446239353566964,4.0
Andorra,0.10269812785966338,0.9250203811200287,5.0
Montenegro,1.417108966227022,0.7766052110532105,4.0
Gibraltar,0.18500281336853625,0.4151350213170148,2.0
Luxembourg,0.9603411541101818,0.16780055332975136,2.0
San Marino,0.5561879942851449,0.6525304627197102,4.0
Liechtenstein,0.2684207136480828,1.0958040034919987,4.0
