rank,name,confed,off,def,spi
84,Jamaica,CONCACAF,1.1466897784027212,0.9869897507693012,48.585008130081306
85,Comoros,CAF,1.13354188989394,0.982051766018005,48.490373983739836
86,Belarus,UEFA,1.0686842475285172,0.9148548481669514,48.48062601626016
87,Estonia,UEFA,1.109525742679176,0.9697769022425818,48.38046341463415
88,Gambia,CAF,1.2374993063667072,1.1131595333164022,48.22858536585366
89,Zambia,CAF,1.2126832502336389,1.1162266789422244,47.860544715447155
90,United Arab Emirates,AFC,1.2078841825917075,1.1187542510990371,47.821357723577236
91,Togo,CAF,1.159802770632851,1.0724800582767748,47.71022764227642
92,Malta,UEFA,0.9330466329500904,0.8555280349074637,47.43650406504065
93,Armenia,UEFA,1.221611382810229,1.1703293464660958,47.37004878048781
94,Iraq,AFC,1.0468076830223831,0.9906696124976344,47.249349593495936
95,Angola,CAF,1.043538060130095,0.9994586940484952,47.12556097560976
96,Guatemala,CONCACAF,1.0274885411536598,0.983171108897974,47.1230162601626
97,Oman,AFC,1.021318089748391,0.9797948080706728,47.075357723577234
98,Luxembourg,UEFA,0.9157441332522392,0.8763962682488502,46.95146341463415
99,Namibia,CAF,1.0186780785125436,1.0005362300131992,46.768878048780486
100,Palestine,AFC,0.8187886762042872,0.8099522872428702,46.4539512195122
101,Mauritania,CAF,0.888786327421878,0.891880525594814,46.36423577235772
102,Equatorial Guinea,CAF,0.9917217916908856,1.012901228409942,46.27808130081301
103,Faroe Islands,UEFA,0.9376725298495514,0.9650482645373024,46.1580243902439
104,Haiti,CONCACAF,1.075862753185672,1.153907383677648,45.69322764227642
105,Cyprus,UEFA,0.985135931104924,1.0610230180765945,45.64854471544715
106,Mozambique,CAF,1.013959368978429,1.1006135466633349,45.5180487804878
107,Moldova,UEFA,1.0082782083091142,1.1058588998601724,45.382723577235765
108,Azerbaijan,UEFA,1.072720338321651,1.1891832194749496,45.21986991869919
109,Kenya,CAF,0.9780544070059838,1.100979368214692,45.091983739837396
110,Niger,CAF,0.981817734218129,1.1098521099581966,45.02454471544715
111,Sierra Leone,CAF,1.0108442511299751,1.1516642948095477,44.884747967479676
