team,xG,xGA,matches
New Zealand,1.7174226097220382,0.9411418390822313,8.0
Papua New Guinea,0.04043726905107608,0.31741115084403854,3.0
New Caledonia,0.4829287386694577,0.005059243014851872,1.0
Solomon Islands,0.005912914638986863,0.5154012049834891,2.0
Vanuatu,0.03616667286151328,0.23270561303299614,3.0
Fiji,0.001272981908562693,0.8752908335843868,4.0
